ZIP_CODE,TOTAL_HOUSEHOLDS,MEDIAN_INCOME
601,5509,14361
602,12740,16807
603,19228,16049
606,1946,12119
610,8795,19898
612,22809,18741
616,3449,17007
617,7910,16984
622,2067,14615
623,13406,17130
624,7411,16701
627,11394,17000
631,629,10244
637,7033,17405
638,5899,16843
641,8945,15792
646,11652,30573
647,1919,14223
650,5136,19764
652,1319,21987
653,3596,12072
656,6502,17355
659,14160,17715
660,6255,19030
662,13849,16834
664,4878,14595
667,7781,14013
669,9597,16922
670,2680,14245
674,14858,18299
676,13425,14992
677,5029,19943
678,8811,17144
680,18364,14217
682,11868,14706
683,11067,16332
685,13383,15185
687,9645,20941
688,4237,17874
690,2407,18288
692,11330,20585
693,19035,19576
698,10926,14794
703,8475,18846
704,2724,17275
705,8527,20214
707,3815,20760
714,5899,17615
715,1032,12188
716,11060,17969
717,6759,12121
718,7979,19372
719,8598,18922
720,6626,15295
723,6162,16063
725,30256,21350
727,19252,31688
728,13139,19340
729,16481,21469
730,11558,15723
731,4361,15473
735,4303,18395
736,17238,21894
738,11558,19859
739,11793,20065
740,740,12944
741,1324,22121
745,15867,22960
751,7609,18087
754,13650,19403
757,7367,19827
765,2210,14880
766,8071,19682
767,11541,16295
769,13040,19700
771,12199,21175
772,6438,16107
773,6582,21850
775,474,22667
777,12782,19830
778,14498,35183
780,3982,21663
782,5207,13683
783,10375,14995
784,13708,17415
786,99,37552
791,16291,20269
794,8741,17073
795,14782,20471
901,2760,21469
906,115,106518
907,8043,36495
909,2243,19443
911,3591,35470
912,2578,22292
913,3310,6493
915,10615,12802
917,8326,15220
918,8055,25117
920,6821,25809
921,13545,18763
923,10039,14159
924,19230,18176
925,3189,11090
926,36114,35788
927,5963,35268
949,25628,27229
952,2796,14991
953,21729,29019
956,24607,23127
957,14300,26667
959,17685,30466
961,11278,29511
962,6829,15497
965,2514,15276
966,5841,48163
968,1797,49099
969,14343,50419
971,8657,22480
976,21424,32377
979,8197,34701
982,5910,24895
983,13284,25750
985,12166,26156
987,20567,32555
1001,7413,63949
1002,9798,61159
1003,42,"2,500-"
1005,1944,67302
1007,5563,91191
1008,490,76333
1009,114,80714
1010,1447,70063
1011,564,76500
1012,272,67321
1013,9140,43808
1020,12798,60561
1022,1154,46488
1026,448,58438
1027,7928,67119
1028,5958,87748
1029,238,87727
1030,4416,76000
1031,537,38173
1032,234,68750
1033,2603,96979
1034,855,87750
1035,2294,74364
1036,2000,91646
1037,238,80556
1038,1220,72045
1039,543,94191
1040,15278,40769
1050,1067,67750
1053,565,60823
1054,766,90978
1056,7925,73458
1057,3526,83008
1060,6556,61798
1062,4171,75179
1068,688,88571
1069,3508,63750
1070,296,60000
1071,526,75592
1072,630,80625
1073,2406,104577
1074,95,86414
1075,6616,69346
1077,3804,73776
1079,342,31594
1080,918,65741
1081,756,69250
1082,4587,56637
1083,1066,60323
1084,75,75938
1085,15551,68042
1088,242,54286
1089,12605,53053
1092,461,108725
1093,117,91563
1095,5253,108965
1096,1060,82574
1098,584,80192
1103,1481,26135
1104,8910,34937
1105,4991,19427
1106,5769,121141
1107,3849,26258
1108,9690,43235
1109,9304,35339
1118,5692,63571
1119,4900,46985
1128,1085,61659
1129,2864,58621
1151,3430,43128
1201,20020,52223
1220,3774,53223
1222,343,58646
1223,1067,75250
1224,64,77717
1225,1448,71081
1226,3088,68915
1230,3511,69328
1235,1116,63947
1236,538,64048
1237,1036,67625
1238,2308,73333
1240,2098,68393
1243,144,49643
1244,58,51538
1245,397,80417
1247,6562,44721
1253,406,85417
1254,443,91484
1255,353,71023
1256,293,58125
1257,918,100909
1258,214,67500
1259,286,68438
1260,140,118508
1262,490,29659
1264,80,71250
1266,572,73906
1267,2372,83939
1270,343,85417
1301,8164,50889
1330,574,70761
1331,5271,57987
1337,1073,66771
1338,61,60347
1339,547,64813
1340,756,62500
1341,778,96563
1342,365,85341
1343,29,71625
1344,546,62727
1346,183,69375
1347,78,53846
1349,500,65536
1350,49,28750
1351,974,81042
1354,579,67917
1355,398,65875
1360,1225,75875
1364,3151,50890
1366,473,71484
1367,237,63750
1368,581,76250
1370,1811,62966
1373,2046,78382
1375,1677,55625
1376,2389,40913
1378,345,59375
1379,370,53750
1420,14965,57207
1430,2047,95037
1431,1167,97958
1432,3442,94375
1434,239,92426
1436,1295,73169
1438,198,119808
1440,8228,49679
1450,4071,129085
1451,1624,162619
1452,1697,91734
1453,16848,61887
1460,3657,123413
1462,4310,103228
1463,4444,104130
1464,2449,76875
1468,1824,73246
1469,2813,91964
1473,2870,100972
1474,707,90302
1475,3765,80267
1501,6634,85432
1503,1179,99297
1504,3526,95375
1505,1799,97591
1506,1404,70338
1507,5064,101111
1510,5594,67634
1515,795,82946
1516,3234,99943
1518,1427,72470
1519,2504,109670
1520,5786,109529
1521,1006,82179
1522,1260,108036
1523,2430,93385
1524,2453,81042
1525,217,40947
1527,5275,85781
1529,1241,79129
1531,460,91125
1532,5399,128613
1534,2351,102284
1535,1841,78750
1536,2780,109329
1537,941,64975
1540,4199,77184
1541,1271,136083
1542,889,106250
1543,2885,107928
1545,13542,105014
1550,6813,51270
1560,1750,88750
1562,4883,72821
1564,2777,121458
1566,2192,86731
1568,2716,128796
1569,5056,107740
1570,6946,62281
1571,3905,69071
1581,7069,112153
1583,2300,90688
1585,1842,63182
1588,3575,76250
1590,3417,104710
1602,9498,64942
1603,7327,42904
1604,14825,55665
1605,10673,40390
1606,8159,65708
1607,3702,39928
1608,1916,31384
1609,7859,45992
1610,7729,33695
1611,788,98140
1612,1499,120469
1701,13054,111209
1702,15212,65154
1718,242,170789
1719,2266,115395
1720,8530,141265
1721,6796,124130
1730,5312,128354
1731,560,107778
1740,1739,173024
1741,1876,195889
1742,6638,152240
1745,230,127700
1746,5270,135340
1747,2181,108294
1748,6304,157353
1749,7877,91706
1752,15730,80943
1754,4262,105254
1756,2059,125945
1757,11046,83243
1760,14430,115446
1770,1525,198681
1772,3312,148409
1773,2169,140125
1775,2558,148235
1776,6386,191310
1778,4849,185906
1801,15951,90969
1803,10001,118721
1810,12801,151334
1821,11561,106141
1824,9714,126081
1826,11470,90000
1827,1178,135909
1830,10096,65224
1832,8901,66961
1833,3295,128466
1834,2448,103125
1835,5259,76538
1840,2265,24045
1841,15149,43411
1843,8545,56680
1844,17907,77484
1845,11112,108070
1850,5460,52827
1851,10208,60596
1852,14255,59037
1854,9498,53322
1860,2710,84609
1862,3512,96514
1863,3850,100672
1864,5543,128651
1867,9175,132948
1876,11684,102934
1879,4439,113489
1880,10529,100693
1886,8571,144917
1887,7957,125922
1890,7884,169623
1901,1017,24446
1902,17085,46224
1904,6205,81788
1905,8247,62927
1906,10431,88630
1907,5875,112761
1908,1602,97778
1913,7215,82468
1915,16443,80586
1921,2839,184007
1922,1223,128083
1923,10689,89250
1929,1457,106283
1930,13110,72574
1938,5761,93212
1940,4965,119602
1944,2075,148854
1945,8122,123333
1949,2999,125204
1950,7836,109839
1951,1354,95345
1952,3889,81626
1960,21541,73290
1966,3324,85208
1969,2210,115909
1970,18371,68860
1982,2719,127813
1983,2206,136863
1984,1418,128056
1985,1678,149167
2019,6526,101477
2021,9064,105919
2025,3087,145679
2026,10026,100680
2030,2031,"250,000+"
2032,1425,155474
2035,6805,96062
2038,11941,122607
2043,8873,142435
2045,4765,88476
2047,75,45655
2048,8650,120613
2050,9886,102249
2052,4245,160963
2053,4735,132823
2054,3161,106164
2056,3186,151279
2061,3666,157987
2062,11971,90133
2066,6922,130893
2067,6326,141596
2071,196,110809
2072,10900,83519
2081,7143,117535
2090,5541,160329
2093,4258,126613
2108,2091,146958
2109,1976,163173
2110,1291,142869
2111,3452,53596
2113,4117,100483
2114,7499,96563
2115,9136,43144
2116,12223,110280
2118,13193,67805
2119,11570,31900
2120,4926,38300
2121,10666,32500
2122,8591,60313
2124,19143,58105
2125,12705,57649
2126,10088,55024
2127,17135,109149
2128,16565,60579
2129,9162,128403
2130,16824,94733
2131,12692,80578
2132,11448,103337
2134,8582,62614
2135,19568,78416
2136,12000,69262
2138,14188,105065
2139,14641,105061
2140,9474,103738
2141,6925,84142
2142,1761,121484
2143,11084,98374
2144,10686,113958
2145,10915,83208
2148,23025,65975
2149,16021,65528
2150,13259,56737
2151,19232,62605
2152,7831,74069
2155,22887,96486
2163,506,53214
2169,25468,72537
2170,7870,83734
2171,7849,84034
2176,11329,106955
2180,9666,101549
2184,14016,96522
2186,8875,133718
2188,6495,86285
2189,6169,76157
2190,7389,95563
2191,3670,78517
2199,813,83464
2210,2324,170588
2215,7845,45856
2301,21086,52373
2302,10731,70191
2322,1574,85200
2324,8133,95675
2330,4489,70959
2332,5714,128173
2333,4828,90528
2338,2904,92774
2339,4913,127981
2341,3907,96693
2343,4094,75273
2346,9271,83631
2347,4095,106633
2351,6396,99381
2356,4575,125205
2359,6563,103905
2360,23345,90279
2364,4949,96104
2367,1010,94167
2368,11912,82902
2370,6959,78011
2375,3878,100136
2379,2499,97404
2382,5466,86570
2420,5036,195494
2421,6775,178358
2445,8407,132688
2446,13116,98978
2451,7305,111587
2452,4724,90755
2453,11597,86787
2458,4890,117137
2459,6388,195336
2460,3657,126659
2461,2657,164583
2462,556,115556
2464,1231,122098
2465,4167,157563
2466,2959,121037
2467,6402,132399
2468,2008,241190
2472,15684,101397
2474,11583,112150
2476,7482,102214
2478,9812,129309
2481,4552,223917
2482,3889,168361
2492,7193,168542
2493,3787,207702
2494,3608,133375
2532,5751,70068
2534,291,92824
2535,632,96061
2536,8235,72489
2537,2421,109707
2538,1684,69327
2539,1453,78902
2540,4053,78603
2542,313,53031
2543,360,99444
2554,3647,107683
2556,1173,96645
2557,1750,75294
2558,738,45326
2559,1813,73491
2561,137,86422
2562,1292,103306
2563,3998,93306
2564,66,112647
2568,1836,51456
2571,4185,63805
2575,1068,95351
2576,1798,80473
2601,6362,54414
2630,773,115129
2631,4142,75286
2632,4410,86356
2633,2054,83625
2635,1395,68590
2637,77,188021
2638,1573,83632
2639,1511,52719
2641,117,62888
2642,2388,71981
2644,1434,98182
2645,3950,78689
2646,1017,67773
2647,52,77344
2648,2834,87060
2649,6360,77019
2650,373,91174
2652,338,70921
2653,2749,73819
2655,1422,83750
2657,1702,59063
2659,448,70694
2660,2932,61694
2663,64,64464
2664,3986,60432
2666,263,67526
2667,1534,75096
2668,1158,100379
2670,710,65486
2671,510,75417
2672,136,76417
2673,3610,63980
2675,3096,74654
2702,1526,95927
2703,17632,74962
2715,1432,101216
2717,1736,85139
2718,2371,93184
2719,6392,67394
2720,12813,51790
2721,10677,40173
2723,6933,40318
2724,7889,39942
2725,931,87458
2726,6025,83346
2738,1942,81928
2739,2648,94360
2740,17996,42314
2743,4094,80221
2744,4598,44252
2745,10067,61267
2746,6135,35018
2747,6924,82963
2748,4778,87326
2760,10480,90558
2762,3666,96066
2763,591,126339
2764,1403,79725
2766,6570,111042
2767,5303,101826
2769,4160,116585
2770,1888,103459
2771,6052,90078
2777,6361,86637
2779,2384,103182
2780,19910,58546
2790,6388,80430
2791,234,68913
2802,253,69321
2804,699,108672
2806,6051,125125
2807,440,59423
2808,764,74500
2809,8331,72422
2812,403,113221
2813,3282,78209
2814,2978,89531
2815,123,194450
2816,13338,72471
2817,2256,119688
2818,7599,102621
2822,2301,83024
2825,2031,87829
2826,178,91964
2827,857,82946
2828,3020,86772
2830,2273,84970
2831,1168,95000
2832,1919,80128
2833,443,88902
2835,2301,111110
2837,1561,89353
2838,1351,62697
2839,816,68258
2840,10267,66805
2842,6868,74022
2852,9005,86625
2857,3159,96004
2859,2487,87363
2860,18543,43586
2861,10095,64833
2863,6103,32928
2864,13238,91806
2865,6497,92742
2871,7079,102392
2873,106,108750
2874,2156,135514
2875,162,160278
2878,6569,75295
2879,8380,89288
2881,1044,79111
2882,5870,83600
2885,4857,60486
2886,12498,69646
2888,8193,75011
2889,11450,77783
2891,9333,70358
2892,1917,111895
2893,13231,55106
2894,241,70587
2895,16663,42595
2896,4588,80885
2898,581,77917
2903,4701,36347
2904,12591,44269
2905,8880,47942
2906,10687,85270
2907,9362,39877
2908,12079,51981
2909,14167,42041
2910,8135,73717
2911,6621,60902
2914,8802,51199
2915,7356,64495
2916,3707,80701
2917,4687,83516
2919,11597,65125
2920,14101,63523
2921,4460,102917
3031,4199,139421
3032,1973,115089
3033,1736,141875
3034,1565,100904
3036,1687,139688
3037,1625,108173
3038,12868,75792
3042,2680,76071
3043,629,99688
3044,1755,110344
3045,5040,90173
3046,938,121500
3047,699,79107
3048,1444,79600
3049,2968,135565
3051,9232,104472
3052,3042,112500
3053,9211,109254
3054,9951,106957
3055,6288,79235
3057,925,118750
3060,12252,51979
3062,11421,94935
3063,6977,88188
3064,5884,68333
3070,1950,120300
3071,1866,81029
3076,4832,106686
3077,4099,76133
3079,11536,86587
3082,667,92986
3084,487,84583
3086,1609,80226
3087,5009,148459
3101,1787,32607
3102,13491,57461
3103,14239,58115
3104,13654,64909
3106,5244,84691
3109,4100,80253
3110,7813,135021
3215,92,105000
3216,918,76618
3217,842,46184
3218,409,59417
3220,3037,71541
3221,863,66528
3222,2334,64167
3223,1385,60625
3224,952,85625
3225,1322,75536
3226,419,76528
3227,466,82875
3229,2193,88854
3230,515,63083
3231,136,81667
3234,1787,78622
3235,3959,52860
3237,919,76450
3240,540,61429
3241,351,66250
3242,1805,79867
3243,373,80292
3244,3061,80174
3245,781,62589
3246,6917,57771
3249,3048,84500
3251,448,52857
3253,2844,63359
3254,1774,71429
3255,930,101528
3256,921,68438
3257,1596,91471
3258,974,95114
3259,170,56944
3260,313,101875
3261,1631,90605
3262,413,57463
3263,1670,55594
3264,2312,54856
3266,851,54904
3268,500,83594
3269,1087,89097
3273,110,108750
3275,4478,75420
3276,3300,56685
3278,1165,75938
3279,309,48750
3280,537,78224
3281,3129,94181
3282,355,67292
3284,341,76932
3285,961,67277
3287,670,85000
3290,1856,97216
3301,13406,65663
3303,6250,74000
3304,2723,122034
3307,2050,72311
3431,10165,56872
3440,1088,76500
3441,69,34028
3442,646,60000
3443,153,71206
3444,576,83958
3445,291,72375
3446,2531,71522
3447,1026,62500
3448,294,70417
3449,785,69297
3450,419,76806
3451,1643,63669
3452,2107,63739
3455,928,71136
3456,327,65893
3457,304,82500
3458,3208,85000
3461,1762,81737
3462,529,111750
3464,414,75455
3465,837,58021
3466,679,92472
3467,663,89583
3470,1993,54097
3561,2894,40259
3570,3977,39130
3574,1082,55556
3576,1408,43814
3579,165,50250
3580,582,74375
3581,1443,59290
3582,1045,45492
3583,396,55625
3584,1538,55167
3585,1112,58696
3586,272,87857
3588,716,60000
3590,404,37500
3592,564,44611
3593,196,84000
3595,317,63229
3597,153,32917
3598,1470,50938
3601,184,70938
3602,1012,63304
3603,2196,49700
3604,58,158269
3605,396,70625
3607,154,64643
3608,1294,71207
3609,325,110250
3740,305,69196
3741,1561,75659
3743,5408,48283
3745,641,81012
3746,100,104167
3748,2146,88041
3750,299,162083
3752,277,59583
3753,1186,106094
3755,2619,123250
3765,245,66055
3766,4224,70268
3768,684,112625
3770,126,97500
3771,344,70000
3773,3177,58760
3774,753,50018
3777,484,73636
3779,332,82083
3780,155,55729
3781,789,81875
3782,1213,86445
3784,1790,56921
3785,838,46442
3801,10370,85000
3809,1271,79653
3810,804,94018
3811,2745,118712
3812,393,43319
3813,1372,64069
3814,1172,43947
3816,564,62411
3818,1745,52051
3819,1675,91694
3820,13508,71556
3823,596,126667
3824,3187,81995
3825,3237,97014
3826,1026,74500
3827,1174,102181
3830,907,56835
3832,147,67031
3833,8969,88498
3835,2868,70257
3836,611,70096
3837,618,65577
3838,504,59541
3839,1476,71053
3840,1508,115417
3841,2630,89595
3842,7037,85585
3844,905,134425
3845,613,58594
3846,412,66161
3847,219,81658
3848,2411,94473
3849,535,72560
3850,121,100221
3851,1626,71308
3852,188,56750
3853,235,58438
3854,436,136000
3855,953,81250
3856,600,154375
3857,4035,73734
3858,1853,107319
3860,1841,61157
3861,1876,100170
3862,1828,95694
3864,786,47464
3865,3119,86659
3867,9020,64340
3868,2284,56599
3869,1021,74896
3870,2260,122602
3872,1403,83597
3873,2156,113750
3874,3877,73046
3875,429,85179
3878,5146,66737
3882,594,70000
3883,101,65945
3884,1341,94321
3885,2797,109817
3886,738,42075
3887,765,73750
3890,53,61211
3894,3003,60898
3901,3185,75164
3902,960,86563
3903,2676,79835
3904,3587,77036
3905,929,85759
3906,1868,68641
3907,576,60500
3908,2785,88262
3909,4551,94771
3910,175,75250
4001,1041,54837
4002,2889,65731
4003,149,87708
4005,9716,55034
4006,94,46786
4008,1243,71875
4009,2411,57594
4010,596,47581
4011,8455,59922
4015,1609,61484
4017,232,68333
4020,619,50074
4021,2320,106190
4022,445,62734
4024,211,63906
4027,2142,64896
4029,699,57902
4030,763,67880
4032,3447,86128
4037,1195,56676
4038,6012,84767
4039,3254,77093
4040,1418,52500
4041,618,48846
4042,2082,65000
4043,4983,75517
4046,3337,76998
4047,820,58182
4048,1212,55343
4049,1330,66273
4050,140,80556
4051,414,53750
4055,1716,67640
4056,119,74792
4061,1108,71857
4062,6854,78698
4063,298,34545
4064,4490,58950
4066,349,77969
4068,559,40859
4069,590,88250
4071,2132,79297
4072,7953,70517
4073,6873,50267
4074,7984,97612
4076,1078,72955
4079,1755,81970
4083,2027,62135
4084,2634,72170
4085,768,90804
4086,3870,74968
4087,816,61722
4088,572,52237
4090,4593,66578
4091,340,54773
4092,8073,59460
4093,3131,71583
4095,480,54167
4096,3409,89984
4097,1397,113994
4101,9086,45417
4102,7863,62256
4103,12986,69651
4105,4671,120299
4106,11009,68665
4107,3714,123014
4108,426,81923
4109,43,65417
4110,558,191250
4210,10442,49719
4216,211,45694
4217,1388,46711
4219,553,51691
4220,1161,57072
4221,308,49423
4222,1647,78995
4224,915,36732
4226,65,44250
4227,55,34028
4231,111,40893
4236,1592,71563
4237,89,75625
4238,476,62353
4239,1880,59432
4240,15617,44523
4250,1866,55330
4252,1862,59949
4253,837,65491
4254,1500,30789
4255,237,61705
4256,1213,56264
4257,1051,44191
4258,932,79107
4259,1371,58860
4260,2049,74769
4261,154,53750
4263,835,57721
4265,420,65455
4267,33,59250
4268,1734,49837
4270,2217,50871
4274,2234,70760
4275,187,39688
4276,2389,41609
4280,2745,71725
4281,1932,49886
4282,2308,66908
4284,433,60859
4285,179,44625
4287,1414,58417
4289,708,46196
4290,560,57813
4292,358,52188
4294,1601,52028
4330,11719,49809
4342,717,69625
4345,4578,55023
4346,858,50286
4347,1104,57635
4348,1248,61091
4349,480,68125
4350,1517,71906
4351,1065,76550
4352,627,60938
4353,959,49850
4354,620,66167
4355,1010,81042
4357,1628,53333
4358,1738,64185
4360,203,60069
4363,1052,59042
4364,2617,71321
4401,18786,52700
4406,307,48438
4408,81,62292
4410,461,49702
4411,678,64130
4412,3770,52174
4413,95,47292
4414,520,41522
4415,124,35729
4416,2342,46250
4417,175,33281
4418,670,40938
4419,1080,78309
4421,225,62292
4422,482,53333
4424,354,35741
4426,1912,39554
4427,1013,49803
4428,1205,59757
4429,2004,62770
4430,813,41838
4434,402,58000
4435,428,45473
4438,466,47000
4441,721,53698
4443,921,39596
4444,3599,80286
4448,569,40288
4449,539,54519
4450,506,58958
4451,116,33750
4453,338,31932
4454,12,18500
4455,266,39000
4456,1074,63152
4457,2437,37358
4459,419,35750
4460,576,34563
4461,1277,53349
4462,2464,35024
4463,1267,36098
4464,245,39013
4468,3919,42965
4471,309,31771
4472,912,57768
4473,3149,47528
4474,1466,70833
4475,233,49250
4476,575,44659
4478,190,43750
4479,585,41406
4481,204,53333
4485,81,47679
4487,380,35625
4488,555,62969
4490,112,60000
4491,72,46250
4492,50,43750
4493,778,48558
4495,185,39688
4496,1626,62455
4497,159,20729
4530,5086,53571
4535,348,76250
4537,989,64375
4538,951,48475
4539,503,62292
4541,23,45893
4543,895,55852
4544,327,68828
4547,436,59167
4548,458,68472
4551,324,60833
4553,796,67295
4554,368,70125
4555,761,64145
4556,561,56950
4558,95,61534
4562,990,77143
4563,627,58221
4564,252,65500
4568,229,52292
4571,167,64531
4572,2401,41069
4573,207,73125
4574,593,53438
4575,39,142614
4576,278,54808
4578,1869,57031
4579,1279,78380
4605,6179,57856
4606,494,38906
4607,505,47313
4609,2336,66591
4611,180,50441
4612,237,71691
4613,33,98438
4614,1173,69087
4616,319,51010
4617,342,63409
4619,1539,32601
4622,535,38203
4623,368,47500
4624,74,65000
4625,39,46719
4626,214,50536
4627,650,46932
4628,256,53333
4630,581,43821
4631,629,34427
4634,779,44487
4635,6,21250
4637,90,38750
4640,1020,61296
4642,58,51875
4643,396,43750
4645,14,32500
4646,38,59038
4648,277,42014
4649,578,38529
4652,836,37267
4653,292,44615
4654,1389,36490
4655,339,51696
4657,163,56250
4658,607,45139
4660,532,102981
4662,203,53558
4664,489,59327
4666,560,41806
4667,573,41838
4668,627,32417
4671,237,59911
4673,63,32813
4674,182,63750
4675,64,99167
4676,462,59375
4677,112,59444
4679,673,56017
4680,558,43810
4681,481,60313
4683,51,99107
4684,771,70703
4685,189,69531
4686,62,53750
4691,140,55625
4693,210,42000
4694,970,46895
4730,4050,39665
4732,745,40481
4733,126,36500
4734,316,48676
4735,263,44205
4736,4044,43390
4739,324,38700
4740,571,41976
4742,1452,40457
4743,1863,48708
4745,418,46667
4746,203,27969
4747,585,42356
4750,761,38750
4756,1614,35757
4757,1210,56579
4758,551,44602
4760,317,38917
4761,214,47500
4762,225,36932
4763,305,33750
4764,18,50000
4765,468,29643
4766,163,41797
4768,193,48417
4769,4058,39366
4772,362,47500
4773,300,44412
4774,295,39485
4776,390,43611
4777,172,40714
4779,157,42917
4780,335,37969
4781,242,50000
4783,207,35938
4785,964,31019
4786,818,39662
4787,215,32917
4841,3486,44156
4843,2431,67226
4847,634,69107
4848,293,63472
4849,1723,62205
4851,42,51250
4853,209,68194
4854,700,59643
4855,129,113750
4856,1356,66731
4858,548,68438
4859,338,50197
4860,734,52449
4861,1252,54981
4862,1562,60479
4863,438,65313
4864,1491,67680
4901,11252,45341
4910,838,51667
4911,949,36375
4912,376,35000
4915,3937,56892
4917,1080,87663
4918,152,69250
4920,754,33788
4921,659,37946
4922,498,43333
4923,216,35357
4924,873,53632
4925,31,58438
4927,1471,49750
4928,878,41875
4929,327,34917
4930,1818,39617
4932,530,57250
4937,2759,40725
4938,3583,47556
4939,464,39464
4941,725,52311
4942,570,31280
4943,747,33831
4945,481,40417
4947,650,59219
4949,387,48203
4950,1900,41900
4951,475,45188
4952,851,55208
4953,1395,56016
4955,621,51806
4956,344,52361
4957,1666,48986
4958,688,51622
4961,406,44318
4963,3083,63125
4964,56,56000
4965,877,49511
4966,799,38859
4967,1621,47634
4969,483,49063
4970,671,57974
4971,766,48953
4973,532,64773
4974,1324,36262
4976,4270,45944
4978,331,70054
4979,378,45455
4981,1231,59035
4982,252,42500
4983,647,43594
4984,233,42917
4985,31,24583
4986,643,47799
4987,404,47031
4988,861,27227
4989,1811,63092
5001,4537,64277
5031,36,85833
5032,995,57682
5033,1115,51510
5034,143,72625
5035,328,51429
5036,426,57386
5037,260,91786
5038,557,52303
5039,520,50500
5040,240,76500
5041,101,68664
5042,231,53750
5043,465,80551
5045,871,56094
5046,452,55000
5048,1283,66342
5050,64,41694
5051,713,55179
5052,107,67991
5053,166,93750
5055,1238,120729
5056,235,59375
5058,160,56250
5060,1896,59737
5061,497,68964
5062,231,55694
5065,423,60174
5067,87,126458
5068,1389,57995
5069,176,61875
5070,247,99792
5071,92,54352
5072,189,81750
5075,433,80795
5076,167,47404
5077,530,59464
5079,286,57500
5081,206,36786
5083,115,47443
5084,47,74375
5086,295,70250
5089,1907,50710
5091,1446,75556
5101,1939,43237
5141,108,40000
5142,281,56688
5143,1807,57974
5146,280,61000
5148,433,72813
5149,896,53333
5150,325,30685
5151,623,70906
5152,149,58750
5153,244,48214
5154,183,35795
5155,395,54732
5156,4031,52488
5158,497,75313
5161,263,76953
5201,5766,51106
5250,1514,58548
5251,532,51250
5252,120,68500
5254,73,93162
5255,1909,66181
5257,931,61847
5260,179,88565
5261,930,57813
5262,861,87328
5301,7461,44437
5340,347,54306
5341,203,48750
5342,264,43750
5343,329,61641
5345,971,54917
5346,2060,57716
5350,274,57500
5352,373,68594
5353,372,56389
5354,852,66905
5355,302,60000
5356,328,53167
5358,62,63750
5359,258,62778
5360,83,48125
5361,451,69338
5362,33,57917
5363,933,50461
5401,12605,45018
5403,8628,72924
5404,3189,51728
5408,4083,68949
5440,753,53550
5441,329,65481
5442,177,69375
5443,2793,69306
5444,669,71875
5445,1462,108611
5446,6849,71090
5447,30,45500
5448,338,68750
5450,1909,59522
5452,8871,84717
5454,1956,80288
5455,405,89609
5456,486,80455
