ZIP_CODE,EV_LEVEL_1,EV_LEVEL_2,EV_FAST,NETWORK_TYPE_ChargePoint,NETWORK_TYPE_Non-Networked,NETWORK_TYPE_Other-Network,TOTAL_HOUSEHOLDS,MEDIAN_INCOME,REG_COUNTS
03266,0,2,0,0,1,0,851.0,54904.0,0
07001,0,1,0,0,1,0,5022.0,69849.0,173
07003,0,12,5,4,1,3,18577.0,78034.0,795
07004,0,6,3,0,1,2,2621.0,122063.0,307
07005,0,1,10,0,1,1,5489.0,111946.0,445
07008,0,2,0,1,0,0,7925.0,73347.0,166
07009,0,2,0,1,0,0,4530.0,123768.0,426
07014,0,0,6,0,0,1,1844.0,89349.0,97
07016,0,2,0,1,0,0,8894.0,129781.0,594
07018,0,2,0,1,0,0,10377.0,47094.0,91
07020,0,23,0,1,0,4,5751.0,127221.0,648
07023,0,1,0,0,0,1,2506.0,147905.0,203
07024,0,12,0,0,0,3,17479.0,83767.0,1244
07028,0,2,0,1,0,0,2495.0,198625.0,440
07029,0,10,0,5,0,0,7266.0,69389.0,194
07030,0,27,0,7,1,3,25182.0,147620.0,1071
07032,0,14,11,3,0,4,13351.0,70658.0,299
07039,0,8,2,2,0,2,10225.0,166629.0,2126
07040,0,1,0,0,1,0,7945.0,138870.0,1032
07042,0,20,1,7,4,1,10436.0,108708.0,1192
07043,0,4,0,2,0,0,4132.0,205735.0,971
07044,0,10,0,4,1,0,5310.0,125000.0,457
07045,0,3,0,0,0,1,3883.0,169095.0,638
07052,0,12,2,3,0,3,16414.0,105584.0,1492
07054,0,11,8,5,1,1,11164.0,99251.0,868
07055,0,4,0,2,0,0,19854.0,40944.0,209
07059,0,5,0,0,0,2,5192.0,170096.0,1525
07060,0,4,1,2,2,0,14971.0,58707.0,422
07065,0,4,1,1,2,0,11304.0,78946.0,302
07066,0,2,0,0,0,1,5932.0,109924.0,268
07068,0,2,0,1,0,0,2349.0,129006.0,331
07069,0,1,0,0,1,0,2099.0,156408.0,594
07070,0,22,0,8,7,0,6977.0,101473.0,384
07071,0,4,0,0,0,1,8738.0,79985.0,305
07073,0,0,1,1,0,0,3966.0,80896.0,170
07079,3,4,0,0,1,1,5162.0,138525.0,936
07081,0,3,9,1,2,1,6901.0,111899.0,445
07083,0,7,0,3,1,0,19094.0,90971.0,625
07086,0,2,0,0,0,1,6633.0,101449.0,423
07090,0,8,0,0,0,4,10280.0,171064.0,1422
07093,0,13,0,7,0,0,24117.0,57473.0,528
07094,0,9,3,3,2,2,7557.0,114821.0,625
07095,0,16,0,0,1,5,7438.0,86615.0,218
07102,0,9,0,4,0,1,5501.0,25677.0,99
07103,0,2,0,1,0,0,11835.0,30108.0,73
07105,0,5,4,5,0,1,17320.0,44785.0,228
07106,0,3,0,0,0,1,11575.0,41195.0,46
07108,0,3,0,2,0,0,8928.0,27000.0,49
07114,0,13,2,8,0,1,3375.0,29682.0,72
07201,0,10,26,4,1,2,8651.0,47630.0,85
07203,0,2,0,1,0,0,7402.0,64718.0,99
07205,0,5,1,1,1,1,7342.0,75239.0,144
07302,0,57,7,16,2,6,22355.0,136679.0,1401
07304,0,9,0,2,2,1,16075.0,48360.0,298
07305,0,11,0,3,1,0,22652.0,55955.0,506
07306,0,4,0,2,0,0,20107.0,59794.0,381
07307,0,6,0,3,0,0,15721.0,63281.0,306
07310,0,12,22,0,0,6,6097.0,147516.0,313
07311,0,14,0,0,0,4,205.0,188634.0,51
07405,0,2,0,0,2,0,6394.0,116884.0,512
07410,0,2,0,1,0,0,11387.0,123159.0,751
07417,0,12,0,4,0,1,3845.0,172766.0,967
07424,0,4,1,1,2,0,9756.0,87125.0,437
07430,0,2,0,0,0,1,9778.0,107081.0,918
07444,0,3,3,1,0,1,4658.0,98281.0,213
07446,0,10,2,4,1,0,5512.0,147625.0,488
07450,0,4,0,2,0,0,8310.0,184556.0,1580
07452,0,4,0,0,1,1,3776.0,187000.0,493
07458,0,3,0,0,2,0,3859.0,162837.0,1321
07470,0,5,0,1,0,2,18350.0,123204.0,1324
07506,0,16,0,4,1,0,7118.0,97692.0,336
07512,0,6,0,2,2,0,3595.0,105637.0,279
07601,0,14,0,0,1,1,19080.0,70090.0,570
