ZIP_CODE,EV_LEVEL_1,EV_LEVEL_2,EV_FAST,NETWORK_TYPE_ChargePoint,NETWORK_TYPE_Non-Networked,NETWORK_TYPE_Other-Network,TOTAL_HOUSEHOLDS,MEDIAN_INCOME,REG_COUNTS
03266,0,2,0,0,1,0,851.0,54904.0,0
07001,0,1,0,0,1,0,5022.0,69849.0,173
07003,0,12,5,4,1,3,148616.0,624272.0,6360
07004,0,12,6,0,2,4,15726.0,732378.0,921
07005,0,1,10,0,1,1,10978.0,223892.0,890
07008,0,2,0,1,0,0,7925.0,73347.0,166
07009,0,2,0,1,0,0,4530.0,123768.0,426
07014,0,0,6,0,0,1,1844.0,89349.0,97
07016,0,2,0,1,0,0,8894.0,129781.0,594
07018,0,2,0,1,0,0,10377.0,47094.0,91
07020,0,23,0,1,0,4,28755.0,636105.0,3240
07023,0,1,0,0,0,1,2506.0,147905.0,203
07024,0,12,0,0,0,3,52437.0,251301.0,3732
07028,0,2,0,1,0,0,2495.0,198625.0,440
07029,0,10,0,5,0,0,36330.0,346945.0,970
07030,0,27,0,7,1,3,277002.0,1623820.0,11781
07032,0,14,11,3,0,4,93457.0,494606.0,2093
07039,0,8,2,2,0,2,40900.0,666516.0,8504
07040,0,1,0,0,1,0,7945.0,138870.0,1032
07042,0,20,1,7,4,1,125232.0,1304496.0,14304
07043,0,4,0,2,0,0,8264.0,411470.0,1942
07044,0,10,0,4,1,0,26550.0,625000.0,2285
07045,0,3,0,0,0,1,3883.0,169095.0,638
07052,0,12,2,3,0,3,98484.0,633504.0,8952
07054,0,22,16,10,2,2,156296.0,1389514.0,6076
07055,0,4,0,2,0,0,39708.0,81888.0,418
07059,0,5,0,0,0,2,10384.0,340192.0,3050
07060,0,4,1,2,2,0,59884.0,234828.0,1688
07065,0,4,1,1,2,0,33912.0,236838.0,906
07066,0,2,0,0,0,1,5932.0,109924.0,268
07068,0,2,0,1,0,0,2349.0,129006.0,331
07069,0,1,0,0,1,0,2099.0,156408.0,594
07070,0,22,0,8,7,0,104655.0,1522095.0,5760
07071,0,4,0,0,0,1,8738.0,79985.0,305
07073,0,0,1,1,0,0,3966.0,80896.0,170
07078,0,4,0,0,0,2,0.0,0.0,3746
07079,3,4,0,0,1,1,10324.0,277050.0,1872
07081,0,3,9,1,2,1,27604.0,447596.0,1780
07083,0,7,0,3,1,0,76376.0,363884.0,2500
07086,0,2,0,0,0,1,6633.0,101449.0,423
07090,0,8,0,0,0,4,41120.0,684256.0,5688
07093,0,13,0,7,0,0,168819.0,402311.0,3696
07094,0,9,3,3,2,2,52899.0,803747.0,4375
07095,0,16,0,0,1,5,44628.0,519690.0,1308
07102,0,9,0,4,0,1,27505.0,128385.0,495
07103,0,2,0,1,0,0,11835.0,30108.0,73
07105,0,5,4,5,0,1,103920.0,268710.0,1368
07106,0,3,0,0,0,1,11575.0,41195.0,46
07108,0,3,0,2,0,0,17856.0,54000.0,98
07114,0,13,2,8,0,1,30375.0,267138.0,648
07201,0,10,26,4,1,2,60557.0,333410.0,595
07203,0,2,0,1,0,0,7402.0,64718.0,99
07205,0,5,1,1,1,1,22026.0,225717.0,432
07302,0,57,7,16,2,6,536520.0,3280296.0,33624
07304,0,9,0,2,2,1,80375.0,241800.0,1490
07305,0,11,0,3,1,0,90608.0,223820.0,2024
07306,0,4,0,2,0,0,40214.0,119588.0,762
07307,0,6,0,3,0,0,47163.0,189843.0,918
07310,0,12,22,0,0,6,36582.0,885096.0,1878
07311,0,14,0,0,0,4,820.0,754536.0,204
07392,0,2,0,0,0,1,0.0,0.0,0
07405,0,2,0,0,2,0,12788.0,233768.0,1024
07410,0,2,0,1,0,0,11387.0,123159.0,751
07417,0,12,0,4,0,1,19225.0,863830.0,4835
07424,0,4,1,1,2,0,29268.0,261375.0,1311
07430,0,2,0,0,0,1,9778.0,107081.0,918
07444,0,3,3,1,0,1,9316.0,196562.0,426
07446,0,10,2,4,1,0,27560.0,738125.0,2440
07450,0,4,0,2,0,0,16620.0,369112.0,3160
07452,0,4,0,0,1,1,7552.0,374000.0,986
07458,0,6,0,0,4,0,15436.0,651348.0,2642
07470,0,10,0,2,0,4,110100.0,739224.0,3972
