,City,ZIP_CODE,EV_LEVEL_1,EV_LEVEL_2,EV_FAST,NETWORK_TYPE_ChargePoint,NETWORK_TYPE_Non-Networked,NETWORK_TYPE_Other-Network,TOTAL_HOUSEHOLDS,MEDIAN_INCOME,REG_COUNTS
0,Lacey,98503,0,4,0,0,1,0,15810.0,65536.0,3428
1,Portland,97214,2,2,0,0,1,0,13149.0,69946.0,745
2,Portland,97214,2,2,0,0,1,0,13149.0,69946.0,2
3,Seattle,98188,36,0,0,0,1,0,9217.0,60586.0,2098
4,San Antonio,78205,2,0,0,0,1,0,1069.0,36094.0,122
5,Salem,97303,2,0,0,0,1,0,14991.0,64587.0,317
6,Beaverton,97006,0,6,0,0,1,0,27222.0,78919.0,990
7,Lincoln City,97367,0,2,0,1,0,0,4532.0,40206.0,146
8,Old Westbury,11568,4,0,0,0,1,0,1042.0,214250.0,0
9,Madison,53703,0,2,0,1,0,0,16629.0,40902.0,212
10,Olympia,98502,2,0,0,0,1,0,14290.0,69326.0,6325
11,Albany,97321,0,2,0,1,0,0,10593.0,73441.0,414
12,Portland,97214,3,1,0,0,1,0,13149.0,69946.0,745
13,Portland,97214,3,1,0,0,1,0,13149.0,69946.0,2
14,Albany,12203,1,5,0,0,1,0,13199.0,61519.0,3
15,Malta,12020,2,0,0,0,1,0,13748.0,82933.0,0
16,Poughkeepsie,12601,1,0,0,0,1,0,16099.0,48132.0,0
17,Spokane,99252,1,2,0,0,1,0,,,0
18,Spokane,99201,0,4,0,0,1,0,6983.0,30388.0,872
19,Coon Rapids,55433,1,0,0,0,1,0,13761.0,64194.0,233
20,Ewing,8628,0,1,0,0,1,0,3786.0,95417.0,219
21,Eugene,97405,10,10,0,0,1,0,19215.0,69200.0,1500
22,Houston,77002,0,2,0,1,0,0,4678.0,71369.0,1126
23,Malta,12020,1,0,0,0,1,0,13748.0,82933.0,0
24,Traverse City,49684,0,2,0,1,0,0,16815.0,61482.0,72
25,Kenosha,53144,0,2,0,1,0,0,9879.0,60655.0,69
26,Middleton,53562,0,2,0,1,0,0,11336.0,86438.0,255
27,Hillsboro,97123,0,2,0,1,0,0,16272.0,81774.0,939
28,Hillsboro,97123,0,2,0,1,0,0,16272.0,81774.0,2
29,Hillsboro,97123,0,2,0,1,0,0,16272.0,81774.0,939
30,Hillsboro,97123,0,2,0,1,0,0,16272.0,81774.0,2
31,Bellevue,98004,0,2,0,1,0,0,17070.0,134580.0,18632
32,Portland,97214,0,1,0,0,1,0,13149.0,69946.0,745
33,Portland,97214,0,1,0,0,1,0,13149.0,69946.0,2
34,Olympia,98505,2,2,0,0,1,0,,,4
35,Livonia,48152,1,1,0,1,0,0,12552.0,77283.0,196
36,Livonia,48152,1,1,0,1,0,0,12552.0,77283.0,4
37,Issaquah,98027,0,2,0,1,0,0,11945.0,113047.0,10051
38,Redmond,98052,0,3,0,0,1,0,28022.0,135287.0,29672
39,Grand Rapids,49503,0,1,0,0,1,0,15772.0,47844.0,185
40,St Paul,55101,1,1,0,1,0,0,4685.0,58583.0,189
41,St. Paul,55117,42,2,0,0,1,0,15970.0,53034.0,628
42,St. Paul,55117,42,2,0,0,1,0,15970.0,53034.0,4
43,Bothell,98011,0,2,0,1,0,0,13304.0,98268.0,1
44,Bothell,98011,0,2,0,1,0,0,13304.0,98268.0,2
45,Bothell,98011,0,2,0,1,0,0,13304.0,98268.0,6572
46,Redmond,98052,0,2,0,1,0,0,28022.0,135287.0,29672
47,Redmond,98052,0,2,0,1,0,0,28022.0,135287.0,29672
48,Woodinville,98072,0,2,0,1,0,0,9205.0,117704.0,8975
49,Fitchburg,53719,0,1,0,1,0,0,13615.0,81490.0,248
50,Middleton,53562,0,1,0,1,0,0,11336.0,86438.0,255
51,Austin,78745,0,2,1,0,1,0,26756.0,64626.0,2450
52,Belle Plaine,56011,1,0,0,0,1,0,3088.0,84681.0,42
53,Red Wing,55066,1,0,0,0,1,0,8039.0,58656.0,170
54,Red Wing,55066,1,0,0,0,1,0,8039.0,58656.0,4
55,Chanhassen,55317,1,0,0,0,1,0,8107.0,119886.0,666
56,Chanhassen,55317,1,0,0,0,1,0,8107.0,119886.0,3
57,North Mankato,56003,1,0,0,0,1,0,6198.0,70245.0,121
58,St. Peter,56082,1,0,0,0,1,0,4847.0,61153.0,85
59,Andover,55304,1,0,0,0,1,0,16723.0,107760.0,784
60,Andover,55304,1,0,0,0,1,0,16723.0,107760.0,18
61,Abilene,79606,0,1,0,0,1,0,10223.0,64465.0,300
62,Amarillo,79119,0,2,0,0,1,0,6810.0,85490.0,373
63,Arlington,76018,0,1,0,0,1,0,9200.0,67962.0,246
64,Austin,78758,0,1,0,0,1,0,20844.0,55074.0,1
65,Austin,78758,0,1,0,0,1,0,20844.0,55074.0,2576
66,Baytown,77521,0,1,0,0,1,0,20015.0,72665.0,261
67,Beaumont,77701,0,1,0,0,1,0,4717.0,36857.0,59
68,Bedford,76022,0,1,1,0,1,0,5526.0,61129.0,234
69,Bedford,76022,0,1,1,0,1,0,5526.0,61129.0,2
70,College Station,77845,0,1,0,0,1,0,24343.0,82929.0,1510
71,Corpus Christi,78415,0,1,0,0,1,0,13284.0,49011.0,120
72,Dallas,75237,0,1,0,0,1,0,9159.0,27970.0,73
73,Denison,75020,0,1,0,0,1,0,8895.0,50081.0,213
74,El Paso,79925,0,1,0,0,1,0,14668.0,47596.0,278
75,El Paso,79936,0,1,0,0,1,0,35437.0,54870.0,762
76,Fort Worth,76116,0,1,1,0,1,0,21343.0,51068.0,817
77,Grapevine,76051,0,1,1,0,1,0,20644.0,91131.0,2128
78,Harlingen,78552,0,1,0,0,1,0,12527.0,49217.0,298
79,Houston,77065,0,1,1,0,1,0,14847.0,57370.0,504
80,Houston,77054,0,1,1,0,1,0,13097.0,50827.0,409
81,Houston,77034,0,1,1,0,1,0,12248.0,51608.0,138
82,Houston,77079,0,1,1,0,1,0,12275.0,91375.0,1108
83,Houston,77090,0,1,1,0,1,0,15927.0,39808.0,333
84,Humble,77338,0,1,0,0,1,0,15062.0,56638.0,245
85,Irving,75062,0,1,2,0,1,0,16177.0,55392.0,2
86,Irving,75062,0,1,2,0,1,0,16177.0,55392.0,1
87,Irving,75062,0,1,2,0,1,0,16177.0,55392.0,573
88,Irving,75062,0,1,2,0,1,0,16177.0,55392.0,656
89,Katy,77494,0,1,0,0,1,0,36575.0,135943.0,4667
90,Killeen,76543,0,1,0,0,1,0,11847.0,41081.0,188
91,Kingsville,78363,0,1,0,0,1,0,10414.0,43261.0,157
92,Laredo,78041,0,1,0,0,1,0,14536.0,50603.0,1
93,Laredo,78041,0,1,0,0,1,0,14536.0,50603.0,302
94,League City,77573,0,1,0,0,1,0,30260.0,111609.0,1768
95,Lewisville,75067,0,1,1,0,1,0,24812.0,63939.0,1117
96,Longview,75605,0,1,0,0,1,0,12396.0,62132.0,499
97,Lubbock,79424,0,1,0,0,1,0,18856.0,84450.0,737
98,McKinney,75069,0,1,1,0,1,0,13816.0,58106.0,1169
99,Mesquite,75150,0,1,1,0,1,0,21086.0,54440.0,342
100,Midland,79707,0,1,0,0,1,0,14497.0,98015.0,404
101,Port Arthur,77640,0,1,0,0,1,0,6180.0,38324.0,50
102,Richardson,75080,0,2,1,0,1,0,18856.0,77736.0,1776
103,Rosenberg,77471,0,1,0,0,1,0,13099.0,52764.0,267
104,Round Rock,78681,0,1,0,0,1,0,17448.0,107912.0,3108
