Zip_Code,County_Name,State_Code,County_Code
36003,Autauga County,AL,1001
36006,Autauga County,AL,1001
36067,Autauga County,AL,1001
36066,Autauga County,AL,1001
36703,Autauga County,AL,1001
36701,Autauga County,AL,1001
36091,Autauga County,AL,1001
36051,Autauga County,AL,1001
36068,Autauga County,AL,1001
36008,Autauga County,AL,1001
36022,Autauga County,AL,1001
36749,Autauga County,AL,1001
36758,Autauga County,AL,1001
36550,Baldwin County,AL,1003
36551,Baldwin County,AL,1003
36527,Baldwin County,AL,1003
36577,Baldwin County,AL,1003
36559,Baldwin County,AL,1003
36536,Baldwin County,AL,1003
36576,Baldwin County,AL,1003
36579,Baldwin County,AL,1003
36502,Baldwin County,AL,1003
36578,Baldwin County,AL,1003
36533,Baldwin County,AL,1003
36564,Baldwin County,AL,1003
36561,Baldwin County,AL,1003
36580,Baldwin County,AL,1003
36535,Baldwin County,AL,1003
36547,Baldwin County,AL,1003
36549,Baldwin County,AL,1003
36530,Baldwin County,AL,1003
36562,Baldwin County,AL,1003
36532,Baldwin County,AL,1003
36526,Baldwin County,AL,1003
36555,Baldwin County,AL,1003
36511,Baldwin County,AL,1003
36567,Baldwin County,AL,1003
36574,Baldwin County,AL,1003
36480,Baldwin County,AL,1003
36507,Baldwin County,AL,1003
36542,Baldwin County,AL,1003
36017,Barbour County,AL,1005
36016,Barbour County,AL,1005
36311,Barbour County,AL,1005
36374,Barbour County,AL,1005
36048,Barbour County,AL,1005
36053,Barbour County,AL,1005
36317,Barbour County,AL,1005
36027,Barbour County,AL,1005
36072,Barbour County,AL,1005
35035,Bibb County,AL,1007
35034,Bibb County,AL,1007
36750,Bibb County,AL,1007
35115,Bibb County,AL,1007
35188,Bibb County,AL,1007
36793,Bibb County,AL,1007
35074,Bibb County,AL,1007
35042,Bibb County,AL,1007
35111,Bibb County,AL,1007
35184,Bibb County,AL,1007
36792,Bibb County,AL,1007
35456,Bibb County,AL,1007
35031,Blount County,AL,1009
35121,Blount County,AL,1009
35063,Blount County,AL,1009
35016,Blount County,AL,1009
35079,Blount County,AL,1009
35097,Blount County,AL,1009
35133,Blount County,AL,1009
35957,Blount County,AL,1009
35126,Blount County,AL,1009
35049,Blount County,AL,1009
35172,Blount County,AL,1009
35952,Blount County,AL,1009
35180,Blount County,AL,1009
35146,Blount County,AL,1009
35976,Blount County,AL,1009
35980,Blount County,AL,1009
35013,Blount County,AL,1009
36830,Bullock County,AL,1011
36031,Bullock County,AL,1011
36089,Bullock County,AL,1011
36029,Bullock County,AL,1011
36081,Bullock County,AL,1011
36860,Bullock County,AL,1011
36053,Bullock County,AL,1011
36005,Bullock County,AL,1011
36052,Bullock County,AL,1011
36037,Butler County,AL,1013
36033,Butler County,AL,1013
36032,Butler County,AL,1013
36456,Butler County,AL,1013
36474,Butler County,AL,1013
36030,Butler County,AL,1013
36042,Butler County,AL,1013
36071,Butler County,AL,1013
36015,Butler County,AL,1013
36206,Calhoun County,AL,1015
36204,Calhoun County,AL,1015
35096,Calhoun County,AL,1015
36279,Calhoun County,AL,1015
36205,Calhoun County,AL,1015
36260,Calhoun County,AL,1015
36271,Calhoun County,AL,1015
36272,Calhoun County,AL,1015
36201,Calhoun County,AL,1015
36203,Calhoun County,AL,1015
36207,Calhoun County,AL,1015
36265,Calhoun County,AL,1015
36202,Calhoun County,AL,1015
36257,Calhoun County,AL,1015
36253,Calhoun County,AL,1015
36254,Calhoun County,AL,1015
35905,Calhoun County,AL,1015
36250,Calhoun County,AL,1015
36277,Calhoun County,AL,1015
36852,Chambers County,AL,1017
36855,Chambers County,AL,1017
36879,Chambers County,AL,1017
36274,Chambers County,AL,1017
36862,Chambers County,AL,1017
36863,Chambers County,AL,1017
36801,Chambers County,AL,1017
36854,Chambers County,AL,1017
36276,Chambers County,AL,1017
36850,Chambers County,AL,1017
35973,Cherokee County,AL,1019
35959,Cherokee County,AL,1019
35901,Cherokee County,AL,1019
35984,Cherokee County,AL,1019
36272,Cherokee County,AL,1019
35967,Cherokee County,AL,1019
35961,Cherokee County,AL,1019
35903,Cherokee County,AL,1019
36275,Cherokee County,AL,1019
35960,Cherokee County,AL,1019
35983,Cherokee County,AL,1019
36006,Chilton County,AL,1021
35115,Chilton County,AL,1021
35040,Chilton County,AL,1021
36790,Chilton County,AL,1021
36758,Chilton County,AL,1021
36793,Chilton County,AL,1021
36750,Chilton County,AL,1021
36051,Chilton County,AL,1021
35046,Chilton County,AL,1021
35045,Chilton County,AL,1021
35171,Chilton County,AL,1021
36792,Chilton County,AL,1021
35085,Chilton County,AL,1021
36091,Chilton County,AL,1021
36908,Choctaw County,AL,1023
36913,Choctaw County,AL,1023
36919,Choctaw County,AL,1023
36921,Choctaw County,AL,1023
36904,Choctaw County,AL,1023
36912,Choctaw County,AL,1023
36910,Choctaw County,AL,1023
36916,Choctaw County,AL,1023
36922,Choctaw County,AL,1023
36558,Choctaw County,AL,1023
36915,Choctaw County,AL,1023
36436,Clarke County,AL,1025
36751,Clarke County,AL,1025
36446,Clarke County,AL,1025
36524,Clarke County,AL,1025
36784,Clarke County,AL,1025
36451,Clarke County,AL,1025
36540,Clarke County,AL,1025
36482,Clarke County,AL,1025
36727,Clarke County,AL,1025
36782,Clarke County,AL,1025
36545,Clarke County,AL,1025
36251,Clay County,AL,1027
36267,Clay County,AL,1027
35082,Clay County,AL,1027
35160,Clay County,AL,1027
35072,Clay County,AL,1027
35089,Clay County,AL,1027
36266,Clay County,AL,1027
36255,Clay County,AL,1027
36256,Clay County,AL,1027
36258,Clay County,AL,1027
36276,Clay County,AL,1027
36268,Clay County,AL,1027
36273,Cleburne County,AL,1029
36269,Cleburne County,AL,1029
36207,Cleburne County,AL,1029
36268,Cleburne County,AL,1029
36258,Cleburne County,AL,1029
36262,Cleburne County,AL,1029
36261,Cleburne County,AL,1029
36264,Cleburne County,AL,1029
36272,Cleburne County,AL,1029
36322,Coffee County,AL,1031
36453,Coffee County,AL,1031
36079,Coffee County,AL,1031
36351,Coffee County,AL,1031
36477,Coffee County,AL,1031
36346,Coffee County,AL,1031
36311,Coffee County,AL,1031
36010,Coffee County,AL,1031
36318,Coffee County,AL,1031
36034,Coffee County,AL,1031
36316,Coffee County,AL,1031
36009,Coffee County,AL,1031
36330,Coffee County,AL,1031
36323,Coffee County,AL,1031
36467,Coffee County,AL,1031
36360,Coffee County,AL,1031
35616,Colbert County,AL,1033
35654,Colbert County,AL,1033
35646,Colbert County,AL,1033
35653,Colbert County,AL,1033
35582,Colbert County,AL,1033
35674,Colbert County,AL,1033
