ZIP,COUNTYNAME,STATE
36003,Autauga County,AL
36006,Autauga County,AL
36067,Autauga County,AL
36066,Autauga County,AL
36703,Autauga County,AL
36701,Autauga County,AL
36091,Autauga County,AL
36051,Autauga County,AL
36068,Autauga County,AL
36008,Autauga County,AL
36022,Autauga County,AL
36749,Autauga County,AL
36758,Autauga County,AL
36550,Baldwin County,AL
36551,Baldwin County,AL
36527,Baldwin County,AL
36577,Baldwin County,AL
36559,Baldwin County,AL
36536,Baldwin County,AL
36576,Baldwin County,AL
36579,Baldwin County,AL
36502,Baldwin County,AL
36578,Baldwin County,AL
36533,Baldwin County,AL
36564,Baldwin County,AL
36561,Baldwin County,AL
36580,Baldwin County,AL
36535,Baldwin County,AL
36547,Baldwin County,AL
36549,Baldwin County,AL
36530,Baldwin County,AL
36562,Baldwin County,AL
36532,Baldwin County,AL
36526,Baldwin County,AL
36555,Baldwin County,AL
36511,Baldwin County,AL
36567,Baldwin County,AL
36574,Baldwin County,AL
36480,Baldwin County,AL
36507,Baldwin County,AL
36542,Baldwin County,AL
36017,Barbour County,AL
36016,Barbour County,AL
36311,Barbour County,AL
36374,Barbour County,AL
36048,Barbour County,AL
36053,Barbour County,AL
36317,Barbour County,AL
36027,Barbour County,AL
36072,Barbour County,AL
35035,Bibb County,AL
35034,Bibb County,AL
36750,Bibb County,AL
35115,Bibb County,AL
35188,Bibb County,AL
36793,Bibb County,AL
35074,Bibb County,AL
35042,Bibb County,AL
35111,Bibb County,AL
35184,Bibb County,AL
36792,Bibb County,AL
35456,Bibb County,AL
35031,Blount County,AL
35121,Blount County,AL
35063,Blount County,AL
35016,Blount County,AL
35079,Blount County,AL
35097,Blount County,AL
35133,Blount County,AL
35957,Blount County,AL
35126,Blount County,AL
35049,Blount County,AL
35172,Blount County,AL
35952,Blount County,AL
35180,Blount County,AL
35146,Blount County,AL
35976,Blount County,AL
35980,Blount County,AL
35013,Blount County,AL
36830,Bullock County,AL
36031,Bullock County,AL
36089,Bullock County,AL
36029,Bullock County,AL
36081,Bullock County,AL
36860,Bullock County,AL
36053,Bullock County,AL
36005,Bullock County,AL
36052,Bullock County,AL
36037,Butler County,AL
36033,Butler County,AL
36032,Butler County,AL
36456,Butler County,AL
36474,Butler County,AL
36030,Butler County,AL
36042,Butler County,AL
36071,Butler County,AL
36015,Butler County,AL
36206,Calhoun County,AL
36204,Calhoun County,AL
35096,Calhoun County,AL
36279,Calhoun County,AL
36205,Calhoun County,AL
36260,Calhoun County,AL
36271,Calhoun County,AL
36272,Calhoun County,AL
36201,Calhoun County,AL
36203,Calhoun County,AL
36207,Calhoun County,AL
36265,Calhoun County,AL
36202,Calhoun County,AL
36257,Calhoun County,AL
36253,Calhoun County,AL
36254,Calhoun County,AL
35905,Calhoun County,AL
36250,Calhoun County,AL
36277,Calhoun County,AL
36852,Chambers County,AL
36855,Chambers County,AL
36879,Chambers County,AL
36274,Chambers County,AL
36862,Chambers County,AL
36863,Chambers County,AL
36801,Chambers County,AL
36854,Chambers County,AL
36276,Chambers County,AL
36850,Chambers County,AL
35973,Cherokee County,AL
35959,Cherokee County,AL
35901,Cherokee County,AL
35984,Cherokee County,AL
36272,Cherokee County,AL
35967,Cherokee County,AL
35961,Cherokee County,AL
35903,Cherokee County,AL
36275,Cherokee County,AL
35960,Cherokee County,AL
35983,Cherokee County,AL
36006,Chilton County,AL
35115,Chilton County,AL
35040,Chilton County,AL
36790,Chilton County,AL
36758,Chilton County,AL
36793,Chilton County,AL
36750,Chilton County,AL
36051,Chilton County,AL
35046,Chilton County,AL
35045,Chilton County,AL
35171,Chilton County,AL
36792,Chilton County,AL
35085,Chilton County,AL
36091,Chilton County,AL
36908,Choctaw County,AL
36913,Choctaw County,AL
36919,Choctaw County,AL
36921,Choctaw County,AL
36904,Choctaw County,AL
36912,Choctaw County,AL
36910,Choctaw County,AL
36916,Choctaw County,AL
36922,Choctaw County,AL
36558,Choctaw County,AL
36915,Choctaw County,AL
36436,Clarke County,AL
36751,Clarke County,AL
36446,Clarke County,AL
36524,Clarke County,AL
36784,Clarke County,AL
36451,Clarke County,AL
36540,Clarke County,AL
36482,Clarke County,AL
36727,Clarke County,AL
36782,Clarke County,AL
36545,Clarke County,AL
36251,Clay County,AL
36267,Clay County,AL
35082,Clay County,AL
35160,Clay County,AL
35072,Clay County,AL
35089,Clay County,AL
36266,Clay County,AL
36255,Clay County,AL
36256,Clay County,AL
36258,Clay County,AL
36276,Clay County,AL
36268,Clay County,AL
36273,Cleburne County,AL
36269,Cleburne County,AL
36207,Cleburne County,AL
36268,Cleburne County,AL
36258,Cleburne County,AL
36262,Cleburne County,AL
36261,Cleburne County,AL
36264,Cleburne County,AL
36272,Cleburne County,AL
36322,Coffee County,AL
36453,Coffee County,AL
36079,Coffee County,AL
36351,Coffee County,AL
36477,Coffee County,AL
36346,Coffee County,AL
36311,Coffee County,AL
36010,Coffee County,AL
36318,Coffee County,AL
36034,Coffee County,AL
36316,Coffee County,AL
36009,Coffee County,AL
36330,Coffee County,AL
36323,Coffee County,AL
36467,Coffee County,AL
36360,Coffee County,AL
35616,Colbert County,AL
35654,Colbert County,AL
35646,Colbert County,AL
35653,Colbert County,AL
35582,Colbert County,AL
35674,Colbert County,AL
35661,Colbert County,AL
35672,Colbert County,AL
35660,Colbert County,AL
36471,Conecuh County,AL
36330,Conecuh County,AL
36426,Conecuh County,AL
36454,Conecuh County,AL
36460,Conecuh County,AL
36401,Conecuh County,AL
36442,Conecuh County,AL
36473,Conecuh County,AL
36502,Conecuh County,AL
36475,Conecuh County,AL
36456,Conecuh County,AL
36432,Conecuh County,AL
36474,Conecuh County,AL
36421,Conecuh County,AL
36033,Conecuh County,AL
35151,Coosa County,AL
35150,Coosa County,AL
36026,Coosa County,AL
36080,Coosa County,AL
35046,Coosa County,AL
35089,Coosa County,AL
35136,Coosa County,AL
35072,Coosa County,AL
35010,Coosa County,AL
35183,Coosa County,AL
36420,Covington County,AL
36421,Covington County,AL
36453,Covington County,AL
36483,Covington County,AL
36455,Covington County,AL
36476,Covington County,AL
36467,Covington County,AL
36474,Covington County,AL
36038,Covington County,AL
36401,Covington County,AL
36028,Covington County,AL
36477,Covington County,AL
36442,Covington County,AL
36456,Covington County,AL
36037,Crenshaw County,AL
36035,Crenshaw County,AL
36009,Crenshaw County,AL
36071,Crenshaw County,AL
36049,Crenshaw County,AL
36028,Crenshaw County,AL
36036,Crenshaw County,AL
36041,Crenshaw County,AL
36034,Crenshaw County,AL
36046,Crenshaw County,AL
36042,Crenshaw County,AL
36467,Crenshaw County,AL
36323,Crenshaw County,AL
35057,Cullman County,AL
35087,Cullman County,AL
35033,Cullman County,AL
35058,Cullman County,AL
35056,Cullman County,AL
35179,Cullman County,AL
35622,Cullman County,AL
35053,Cullman County,AL
35098,Cullman County,AL
35619,Cullman County,AL
35541,Cullman County,AL
35670,Cullman County,AL
35077,Cullman County,AL
35016,Cullman County,AL
35621,Cullman County,AL
35540,Cullman County,AL
35976,Cullman County,AL
35083,Cullman County,AL
35070,Cullman County,AL
35019,Cullman County,AL
35055,Cullman County,AL
36322,Dale County,AL
36303,Dale County,AL
36353,Dale County,AL
36345,Dale County,AL
36374,Dale County,AL
36360,Dale County,AL
36317,Dale County,AL
36371,Dale County,AL
36350,Dale County,AL
36362,Dale County,AL
36311,Dale County,AL
36330,Dale County,AL
36361,Dale County,AL
36352,Dale County,AL
36761,Dallas County,AL
36767,Dallas County,AL
36701,Dallas County,AL
