Zip_Code,Registrations,Total_Households,Median_Households_Estimate_Income,Type
53001,13,823,72578,Rural
53002,3,991,77708,Rural
53004,12,1276,81250,Rural
53005,103,7622,104534,Urban
53007,10,913,39273,Urban
53010,4,2975,73219,Rural
53011,3,894,80804,Rural
53012,80,7410,97500,Urban
53013,7,1331,73482,Rural
53014,10,3336,59434,Rural
53015,7,1044,74100,Rural
53017,16,2056,124107,Urban
53018,46,3128,101703,Urban
53019,1,761,76094,Urban
53020,11,1606,75300,Rural
53021,20,1867,85750,Rural
53022,50,7807,86113,Urban
53024,50,7293,81420,Urban
53027,32,9241,70162,Urban
53029,110,7988,103764,Urban
53032,2,1922,62857,Rural
53033,6,2034,96530,Urban
53036,4,1090,82813,Urban
53037,3,3962,84865,Urban
53038,28,1593,85344,Rural
53039,1,1688,66856,Rural
53040,17,3198,79250,Urban
53042,8,2847,63607,Rural
53044,21,964,85859,Urban
53045,184,8499,104901,Urban
53048,6,1439,56563,Rural
53050,12,2805,57668,Rural
53051,145,15354,82383,Urban
53058,4,1476,83500,Urban
53059,2,742,74808,Rural
53061,2,2113,65673,Rural
53063,2,661,72917,Rural
53065,7,869,76250,Rural
53066,154,13879,96880,Urban
53069,2,311,110341,Urban
53070,3,1875,67039,Rural
53072,99,10710,92023,Urban
53073,88,6181,63570,Rural
53074,34,5539,68807,Urban
53075,12,1352,68448,Rural
53076,9,1490,102965,Urban
53078,7,712,79412,Rural
53080,6,2360,56558,Urban
53081,88,17949,50353,Urban
53083,40,8335,72827,Urban
53085,52,5109,60448,Urban
53086,11,3263,82192,Urban
53089,207,7432,92951,Urban
53090,35,8632,73992,Urban
53092,196,8495,106565,Urban
53093,4,787,80491,Rural
53094,20,7532,57279,Urban
53095,70,11687,66301,Urban
53097,67,2003,129115,Urban
53098,25,4645,58079,Urban
53103,6,1472,91210,Urban
53104,32,2165,82126,Urban
53105,85,11581,76850,Urban
53108,11,1346,71250,Urban
53110,104,7682,56795,Urban
53115,81,6405,61557,Rural
53118,12,2860,84783,Urban
53119,34,2128,91654,Rural
53120,27,3952,73205,Rural
53121,22,7538,70259,Urban
53122,60,2287,106058,Urban
53125,52,806,85833,Rural
53126,29,2695,89057,Urban
53128,14,3073,68668,Urban
53129,42,5843,72039,Urban
53130,24,3141,76677,Urban
53132,85,13653,84118,Urban
53139,10,1005,79375,Rural
53140,39,11905,46231,Urban
53142,145,12363,72141,Urban
53143,12,8846,48454,Urban
