,Zip_Code,County_Name,State_Code,County_Code
0,36003,Autauga County,AL,1001
1,36006,Autauga County,AL,1001
2,36067,Autauga County,AL,1001
3,36066,Autauga County,AL,1001
4,36703,Autauga County,AL,1001
5,36701,Autauga County,AL,1001
6,36091,Autauga County,AL,1001
7,36051,Autauga County,AL,1001
8,36068,Autauga County,AL,1001
9,36008,Autauga County,AL,1001
10,36022,Autauga County,AL,1001
11,36749,Autauga County,AL,1001
12,36758,Autauga County,AL,1001
13,36550,Baldwin County,AL,1003
14,36551,Baldwin County,AL,1003
15,36527,Baldwin County,AL,1003
16,36577,Baldwin County,AL,1003
17,36559,Baldwin County,AL,1003
18,36536,Baldwin County,AL,1003
19,36576,Baldwin County,AL,1003
20,36579,Baldwin County,AL,1003
21,36502,Baldwin County,AL,1003
22,36578,Baldwin County,AL,1003
23,36533,Baldwin County,AL,1003
24,36564,Baldwin County,AL,1003
25,36561,Baldwin County,AL,1003
26,36580,Baldwin County,AL,1003
27,36535,Baldwin County,AL,1003
28,36547,Baldwin County,AL,1003
29,36549,Baldwin County,AL,1003
30,36530,Baldwin County,AL,1003
31,36562,Baldwin County,AL,1003
32,36532,Baldwin County,AL,1003
33,36526,Baldwin County,AL,1003
34,36555,Baldwin County,AL,1003
35,36511,Baldwin County,AL,1003
36,36567,Baldwin County,AL,1003
37,36574,Baldwin County,AL,1003
38,36480,Baldwin County,AL,1003
39,36507,Baldwin County,AL,1003
40,36542,Baldwin County,AL,1003
41,36017,Barbour County,AL,1005
42,36016,Barbour County,AL,1005
43,36311,Barbour County,AL,1005
44,36374,Barbour County,AL,1005
45,36048,Barbour County,AL,1005
46,36053,Barbour County,AL,1005
47,36317,Barbour County,AL,1005
48,36027,Barbour County,AL,1005
49,36072,Barbour County,AL,1005
50,35035,Bibb County,AL,1007
51,35034,Bibb County,AL,1007
52,36750,Bibb County,AL,1007
53,35115,Bibb County,AL,1007
54,35188,Bibb County,AL,1007
55,36793,Bibb County,AL,1007
56,35074,Bibb County,AL,1007
57,35042,Bibb County,AL,1007
58,35111,Bibb County,AL,1007
59,35184,Bibb County,AL,1007
60,36792,Bibb County,AL,1007
61,35456,Bibb County,AL,1007
62,35031,Blount County,AL,1009
63,35121,Blount County,AL,1009
64,35063,Blount County,AL,1009
65,35016,Blount County,AL,1009
66,35079,Blount County,AL,1009
67,35097,Blount County,AL,1009
68,35133,Blount County,AL,1009
69,35957,Blount County,AL,1009
70,35126,Blount County,AL,1009
71,35049,Blount County,AL,1009
72,35172,Blount County,AL,1009
73,35952,Blount County,AL,1009
74,35180,Blount County,AL,1009
75,35146,Blount County,AL,1009
76,35976,Blount County,AL,1009
77,35980,Blount County,AL,1009
78,35013,Blount County,AL,1009
79,36830,Bullock County,AL,1011
80,36031,Bullock County,AL,1011
81,36089,Bullock County,AL,1011
82,36029,Bullock County,AL,1011
83,36081,Bullock County,AL,1011
84,36860,Bullock County,AL,1011
85,36053,Bullock County,AL,1011
86,36005,Bullock County,AL,1011
87,36052,Bullock County,AL,1011
88,36037,Butler County,AL,1013
89,36033,Butler County,AL,1013
90,36032,Butler County,AL,1013
91,36456,Butler County,AL,1013
92,36474,Butler County,AL,1013
93,36030,Butler County,AL,1013
94,36042,Butler County,AL,1013
95,36071,Butler County,AL,1013
96,36015,Butler County,AL,1013
97,36206,Calhoun County,AL,1015
98,36204,Calhoun County,AL,1015
99,35096,Calhoun County,AL,1015
100,36279,Calhoun County,AL,1015
101,36205,Calhoun County,AL,1015
102,36260,Calhoun County,AL,1015
103,36271,Calhoun County,AL,1015
104,36272,Calhoun County,AL,1015
105,36201,Calhoun County,AL,1015
106,36203,Calhoun County,AL,1015
107,36207,Calhoun County,AL,1015
108,36265,Calhoun County,AL,1015
109,36202,Calhoun County,AL,1015
110,36257,Calhoun County,AL,1015
111,36253,Calhoun County,AL,1015
112,36254,Calhoun County,AL,1015
113,35905,Calhoun County,AL,1015
114,36250,Calhoun County,AL,1015
115,36277,Calhoun County,AL,1015
116,36852,Chambers County,AL,1017
117,36855,Chambers County,AL,1017
118,36879,Chambers County,AL,1017
119,36274,Chambers County,AL,1017
120,36862,Chambers County,AL,1017
121,36863,Chambers County,AL,1017
122,36801,Chambers County,AL,1017
123,36854,Chambers County,AL,1017
124,36276,Chambers County,AL,1017
125,36850,Chambers County,AL,1017
126,35973,Cherokee County,AL,1019
127,35959,Cherokee County,AL,1019
128,35901,Cherokee County,AL,1019
129,35984,Cherokee County,AL,1019
130,36272,Cherokee County,AL,1019
131,35967,Cherokee County,AL,1019
132,35961,Cherokee County,AL,1019
133,35903,Cherokee County,AL,1019
134,36275,Cherokee County,AL,1019
135,35960,Cherokee County,AL,1019
136,35983,Cherokee County,AL,1019
137,36006,Chilton County,AL,1021
138,35115,Chilton County,AL,1021
139,35040,Chilton County,AL,1021
140,36790,Chilton County,AL,1021
141,36758,Chilton County,AL,1021
142,36793,Chilton County,AL,1021
143,36750,Chilton County,AL,1021
144,36051,Chilton County,AL,1021
145,35046,Chilton County,AL,1021
146,35045,Chilton County,AL,1021
147,35171,Chilton County,AL,1021
148,36792,Chilton County,AL,1021
149,35085,Chilton County,AL,1021
150,36091,Chilton County,AL,1021
151,36908,Choctaw County,AL,1023
152,36913,Choctaw County,AL,1023
153,36919,Choctaw County,AL,1023
154,36921,Choctaw County,AL,1023
155,36904,Choctaw County,AL,1023
156,36912,Choctaw County,AL,1023
157,36910,Choctaw County,AL,1023
158,36916,Choctaw County,AL,1023
159,36922,Choctaw County,AL,1023
160,36558,Choctaw County,AL,1023
161,36915,Choctaw County,AL,1023
162,36436,Clarke County,AL,1025
163,36751,Clarke County,AL,1025
164,36446,Clarke County,AL,1025
165,36524,Clarke County,AL,1025
166,36784,Clarke County,AL,1025
167,36451,Clarke County,AL,1025
168,36540,Clarke County,AL,1025
169,36482,Clarke County,AL,1025
170,36727,Clarke County,AL,1025
171,36782,Clarke County,AL,1025
172,36545,Clarke County,AL,1025
173,36251,Clay County,AL,1027
174,36267,Clay County,AL,1027
175,35082,Clay County,AL,1027
176,35160,Clay County,AL,1027
177,35072,Clay County,AL,1027
178,35089,Clay County,AL,1027
179,36266,Clay County,AL,1027
180,36255,Clay County,AL,1027
181,36256,Clay County,AL,1027
182,36258,Clay County,AL,1027
183,36276,Clay County,AL,1027
184,36268,Clay County,AL,1027
185,36273,Cleburne County,AL,1029
186,36269,Cleburne County,AL,1029
187,36207,Cleburne County,AL,1029
188,36268,Cleburne County,AL,1029
189,36258,Cleburne County,AL,1029
190,36262,Cleburne County,AL,1029
191,36261,Cleburne County,AL,1029
192,36264,Cleburne County,AL,1029
193,36272,Cleburne County,AL,1029
194,36322,Coffee County,AL,1031
195,36453,Coffee County,AL,1031
196,36079,Coffee County,AL,1031
197,36351,Coffee County,AL,1031
198,36477,Coffee County,AL,1031
199,36346,Coffee County,AL,1031
200,36311,Coffee County,AL,1031
201,36010,Coffee County,AL,1031
202,36318,Coffee County,AL,1031
203,36034,Coffee County,AL,1031
204,36316,Coffee County,AL,1031
205,36009,Coffee County,AL,1031
206,36330,Coffee County,AL,1031
207,36323,Coffee County,AL,1031
208,36467,Coffee County,AL,1031
209,36360,Coffee County,AL,1031
210,35616,Colbert County,AL,1033
211,35654,Colbert County,AL,1033
212,35646,Colbert County,AL,1033
213,35653,Colbert County,AL,1033
214,35582,Colbert County,AL,1033
215,35674,Colbert County,AL,1033
216,35661,Colbert County,AL,1033
217,35672,Colbert County,AL,1033
218,35660,Colbert County,AL,1033
219,36471,Conecuh County,AL,1035
220,36330,Conecuh County,AL,1035
221,36426,Conecuh County,AL,1035
222,36454,Conecuh County,AL,1035
223,36460,Conecuh County,AL,1035
224,36401,Conecuh County,AL,1035
225,36442,Conecuh County,AL,1035
226,36473,Conecuh County,AL,1035
227,36502,Conecuh County,AL,1035
228,36475,Conecuh County,AL,1035
229,36456,Conecuh County,AL,1035
230,36432,Conecuh County,AL,1035
231,36474,Conecuh County,AL,1035
232,36421,Conecuh County,AL,1035
233,36033,Conecuh County,AL,1035
234,35151,Coosa County,AL,1037
235,35150,Coosa County,AL,1037
236,36026,Coosa County,AL,1037
237,36080,Coosa County,AL,1037
238,35046,Coosa County,AL,1037
239,35089,Coosa County,AL,1037
240,35136,Coosa County,AL,1037
241,35072,Coosa County,AL,1037
242,35010,Coosa County,AL,1037
243,35183,Coosa County,AL,1037
244,36420,Covington County,AL,1039
245,36421,Covington County,AL,1039
246,36453,Covington County,AL,1039
247,36483,Covington County,AL,1039
248,36455,Covington County,AL,1039
249,36476,Covington County,AL,1039
250,36467,Covington County,AL,1039
251,36474,Covington County,AL,1039
252,36038,Covington County,AL,1039
253,36401,Covington County,AL,1039
254,36028,Covington County,AL,1039
255,36477,Covington County,AL,1039
256,36442,Covington County,AL,1039
257,36456,Covington County,AL,1039
258,36037,Crenshaw County,AL,1041
259,36035,Crenshaw County,AL,1041
260,36009,Crenshaw County,AL,1041
261,36071,Crenshaw County,AL,1041
262,36049,Crenshaw County,AL,1041
263,36028,Crenshaw County,AL,1041
264,36036,Crenshaw County,AL,1041
265,36041,Crenshaw County,AL,1041
266,36034,Crenshaw County,AL,1041
267,36046,Crenshaw County,AL,1041
268,36042,Crenshaw County,AL,1041
269,36467,Crenshaw County,AL,1041
270,36323,Crenshaw County,AL,1041
271,35057,Cullman County,AL,1043
272,35087,Cullman County,AL,1043
273,35033,Cullman County,AL,1043
274,35058,Cullman County,AL,1043
275,35056,Cullman County,AL,1043
276,35179,Cullman County,AL,1043
277,35622,Cullman County,AL,1043
278,35053,Cullman County,AL,1043
279,35098,Cullman County,AL,1043
280,35619,Cullman County,AL,1043
281,35541,Cullman County,AL,1043
282,35670,Cullman County,AL,1043
283,35077,Cullman County,AL,1043
284,35016,Cullman County,AL,1043
285,35621,Cullman County,AL,1043
286,35540,Cullman County,AL,1043
287,35976,Cullman County,AL,1043
288,35083,Cullman County,AL,1043
289,35070,Cullman County,AL,1043
290,35019,Cullman County,AL,1043
291,35055,Cullman County,AL,1043
292,36322,Dale County,AL,1045
293,36303,Dale County,AL,1045
294,36353,Dale County,AL,1045
295,36345,Dale County,AL,1045
296,36374,Dale County,AL,1045
297,36360,Dale County,AL,1045
298,36317,Dale County,AL,1045
299,36371,Dale County,AL,1045
300,36350,Dale County,AL,1045
301,36362,Dale County,AL,1045
302,36311,Dale County,AL,1045
303,36330,Dale County,AL,1045
304,36361,Dale County,AL,1045
305,36352,Dale County,AL,1045
306,36761,Dallas County,AL,1047
307,36767,Dallas County,AL,1047
308,36701,Dallas County,AL,1047
309,36773,Dallas County,AL,1047
310,36758,Dallas County,AL,1047
311,36785,Dallas County,AL,1047
312,36759,Dallas County,AL,1047
313,36749,Dallas County,AL,1047
314,36703,Dallas County,AL,1047
315,36775,Dallas County,AL,1047
316,35962,DeKalb County,AL,1049
317,35968,DeKalb County,AL,1049
318,35765,DeKalb County,AL,1049
319,35984,DeKalb County,AL,1049
320,35986,DeKalb County,AL,1049
321,35983,DeKalb County,AL,1049
322,35971,DeKalb County,AL,1049
323,35959,DeKalb County,AL,1049
324,35956,DeKalb County,AL,1049
325,35989,DeKalb County,AL,1049
326,35988,DeKalb County,AL,1049
327,35771,DeKalb County,AL,1049
328,35957,DeKalb County,AL,1049
329,35978,DeKalb County,AL,1049
330,35966,DeKalb County,AL,1049
331,35963,DeKalb County,AL,1049
332,35979,DeKalb County,AL,1049
333,35975,DeKalb County,AL,1049
334,35967,DeKalb County,AL,1049
335,35974,DeKalb County,AL,1049
336,35951,DeKalb County,AL,1049
337,35981,DeKalb County,AL,1049
338,35961,DeKalb County,AL,1049
339,35954,DeKalb County,AL,1049
340,35010,Elmore County,AL,1051
