Type,Zip_Code
Urban,53140
Urban,53143
Urban,53172
Urban,53204
Urban,53205
Urban,53206
Urban,53208
Urban,53209
Urban,53210
Urban,53212
Urban,53214
Urban,53215
Urban,53216
Urban,53218
Urban,53221
Urban,53223
Urban,53224
Urban,53225
Urban,53233
Urban,53404
Urban,53511
Urban,53713
Urban,54302
Urban,53005
Urban,53007
Urban,53012
Urban,53018
Urban,53024
Urban,53029
Urban,53044
Urban,53045
Urban,53046
Urban,53051
Urban,53058
Urban,53066
Urban,53069
Urban,53072
Urban,53074
Urban,53080
Urban,53089
Urban,53092
Urban,53097
Urban,53103
Urban,53118
Urban,53122
Urban,53146
Urban,53150
Urban,53151
Urban,53183
Urban,53186
Urban,53188
Urban,53189
Urban,53527
Urban,53528
Urban,53529
Urban,53532
Urban,53558
Urban,53562
Urban,53589
Urban,53590
Urban,53593
Urban,53597
Urban,53598
Urban,53703
Urban,53704
Urban,53705
Urban,53706
Urban,53711
Urban,53714
Urban,53715
Urban,53716
Urban,53717
Urban,53718
Urban,53719
Urban,53726
Urban,54449
Urban,54455
Urban,54494
Urban,54601
Urban,54603
Urban,54636
Urban,54650
Urban,54669
Urban,54701
Urban,54703
Urban,54720
Urban,54913
Urban,54942
Urban,53017
Urban,53019
Urban,53022
Urban,53027
Urban,53033
Urban,53036
Urban,53037
Urban,53040
Urban,53076
Urban,53081
Urban,53083
Urban,53085
Urban,53086
Urban,53090
Urban,53094
Urban,53095
Urban,53098
Urban,53104
Urban,53105
Urban,53108
Urban,53110
Urban,53121
Urban,53126
Urban,53128
Urban,53129
Urban,53130
Urban,53132
Urban,53142
Urban,53144
Urban,53154
Urban,53158
Urban,53168
Urban,53170
Urban,53177
Urban,53179
Urban,53181
Urban,53185
Urban,53190
Urban,53202
Urban,53203
Urban,53207
Urban,53211
Urban,53213
Urban,53217
Urban,53219
Urban,53220
Urban,53222
Urban,53226
Urban,53227
Urban,53228
Urban,53235
Urban,53402
Urban,53403
Urban,53405
Urban,53406
Urban,53538
Urban,53545
Urban,53546
Urban,53548
Urban,53563
Urban,53566
Urban,53818
Urban,53913
Urban,53916
Urban,53963
Urban,54016
Urban,54022
Urban,54113
Urban,54115
Urban,54130
Urban,54136
Urban,54140
Urban,54143
Urban,54169
Urban,54173
Urban,54220
Urban,54229
Urban,54241
Urban,54301
Urban,54303
Urban,54304
Urban,54311
Urban,54313
Urban,54401
Urban,54403
Urban,54467
Urban,54474
Urban,54476
Urban,54481
Urban,54495
Urban,54658
Urban,54729
Urban,54751
Urban,54880
Urban,54901
Urban,54902
Urban,54904
Urban,54911
Urban,54914
Urban,54915
Urban,54935
Urban,54937
Urban,54952
Urban,54956
Rural,53506
Rural,53579
Rural,53580
Rural,53585
Rural,53816
Rural,53825
Rural,53910
Rural,53923
Rural,53926
Rural,53929
Rural,53933
Rural,53934
Rural,53936
Rural,53937
Rural,53944
Rural,53951
Rural,53952
Rural,54102
Rural,54104
Rural,54124
Rural,54135
Rural,54150
Rural,54156
Rural,54405
Rural,54408
Rural,54409
Rural,54411
Rural,54416
Rural,54420
Rural,54421
Rural,54422
Rural,54425
Rural,54427
Rural,54433
Rural,54436
Rural,54437
Rural,54446
Rural,54454
Rural,54460
Rural,54480
Rural,54488
Rural,54491
Rural,54493
Rural,54498
Rural,54520
Rural,54534
Rural,54538
Rural,54559
Rural,54566
Rural,54612
Rural,54613
Rural,54615
Rural,54616
Rural,54619
Rural,54634
Rural,54638
Rural,54639
Rural,54646
Rural,54648
Rural,54651
Rural,54652
Rural,54655
Rural,54659
Rural,54664
Rural,54670
Rural,54722
Rural,54726
Rural,54731
Rural,54732
Rural,54741
Rural,54746
Rural,54747
Rural,54748
Rural,54754
Rural,54766
Rural,54768
Rural,54771
Rural,54772
Rural,54805
Rural,54812
Rural,54813
Rural,54824
Rural,54828
Rural,54848
Rural,54855
Rural,54858
Rural,54876
Rural,54921
Rural,54922
Rural,54930
Rural,54943
Rural,54950
Rural,54966
Rural,54970
Rural,54982
Rural,53001
Rural,53002
Rural,53004
Rural,53006
Rural,53010
Rural,53011
Rural,53013
Rural,53014
Rural,53015
Rural,53020
Rural,53021
Rural,53023
Rural,53034
Rural,53035
Rural,53038
Rural,53042
Rural,53049
Rural,53050
Rural,53057
Rural,53059
Rural,53061
Rural,53063
Rural,53065
Rural,53070
Rural,53073
Rural,53078
Rural,53079
Rural,53091
Rural,53093
Rural,53120
Rural,53125
Rural,53137
Rural,53139
Rural,53149
Rural,53153
Rural,53156
Rural,53178
Rural,53503
Rural,53507
Rural,53521
Rural,53526
Rural,53533
Rural,53536
Rural,53544
Rural,53549
Rural,53551
Rural,53555
Rural,53565
Rural,53570
Rural,53574
Rural,53582
Rural,53583
Rural,53587
Rural,53594
Rural,53803
Rural,53807
Rural,53811
Rural,53820
Rural,53911
Rural,53919
Rural,53922
Rural,53925
Rural,53932
Rural,53954
Rural,53955
Rural,54002
Rural,54003
Rural,54011
Rural,54014
Rural,54015
Rural,54017
Rural,54021
Rural,54023
Rural,54025
Rural,54027
Rural,54028
Rural,54082
Rural,54101
Rural,54110
Rural,54126
Rural,54129
Rural,54137
Rural,54139
Rural,54141
Rural,54149
Rural,54154
Rural,54159
Rural,54162
Rural,54165
Rural,54171
Rural,54175
Rural,54180
Rural,54201
Rural,54202
Rural,54204
Rural,54205
Rural,54208
Rural,54209
Rural,54216
Rural,54217
Rural,54227
Rural,54228
Rural,54230
Rural,54234
Rural,54235
Rural,54245
Rural,54246
Rural,54247
Rural,54406
Rural,54407
Rural,54412
Rural,54423
Rural,54440
Rural,54441
Rural,54442
Rural,54443
Rural,54448
Rural,54452
Rural,54471
Rural,54473
Rural,54475
Rural,54482
Rural,54487
Rural,54524
Rural,54530
Rural,54539
Rural,54555
Rural,54556
Rural,54557
Rural,54610
Rural,54622
Rural,54626
Rural,54627
Rural,54629
Rural,54661
Rural,54721
Rural,54723
Rural,54724
Rural,54734
Rural,54737
Rural,54738
Rural,54740
Rural,54745
Rural,54750
Rural,54755
Rural,54756
Rural,54758
Rural,54759
Rural,54767
Rural,54769
Rural,54770
Rural,54773
Rural,54820
Rural,54836
Rural,54849
Rural,54870
Rural,54874
Rural,54932
Rural,54940
Rural,54941
Rural,54944
Rural,54947
Rural,54960
Rural,54964
Rural,54965
Rural,54974
Rural,54977
Rural,54979
Rural,54981
Rural,54983
Rural,54984
Rural,54986
Rural,53032
Rural,53039
Rural,53048
Rural,53075
Rural,53114
Rural,53115
Rural,53119
Rural,53147
Rural,53182
Rural,53184
Rural,53191
Rural,53502
Rural,53504
Rural,53508
Rural,53510
Rural,53515
Rural,53516
Rural,53517
Rural,53518
Rural,53520
Rural,53522
Rural,53523
Rural,53525
Rural,53530
Rural,53531
Rural,53534
Rural,53541
Rural,53543
