ZIP_CODE,State_Code,Latitude,Longitude,EV_LEVEL_1,EV_LEVEL_2,EV_FAST,NETWORK_TYPE_ChargePoint,NETWORK_TYPE_Non-Networked,NETWORK_TYPE_Other-Network,TOTAL_HOUSEHOLDS,MEDIAN_INCOME,REG_COUNTS
03266,WI,43.045323,-88.041306,0.0,2.0,0.0,0.0,1.0,0.0,851.0,54904.0,0
07001,NJ,40.573827,-74.290584,0.0,1.0,0.0,0.0,1.0,0.0,5022.0,69849.0,173
07003,NJ,326.41802970000003,-593.5399211,0.0,12.0,5.0,4.0,1.0,3.0,18577.0,78034.0,5
07003,NJ,326.41802970000003,-593.5399211,0.0,12.0,5.0,4.0,1.0,3.0,18577.0,78034.0,795
07004,NJ,122.6434063,-222.8382259,0.0,6.0,3.0,0.0,1.0,2.0,2621.0,122063.0,1
07004,NJ,122.6434063,-222.8382259,0.0,6.0,3.0,0.0,1.0,2.0,2621.0,122063.0,306
07004,NJ,122.6434063,-222.8382259,0.0,6.0,3.0,0.0,1.0,2.0,2621.0,122063.0,1
07005,NJ,81.82022599999999,-148.789991,0.0,1.0,10.0,0.0,1.0,1.0,5489.0,111946.0,445
07005,NJ,81.82022599999999,-148.789991,0.0,1.0,10.0,0.0,1.0,1.0,5489.0,111946.0,1
07008,NJ,40.577612,-74.220784,0.0,2.0,0.0,1.0,0.0,0.0,7925.0,73347.0,166
07008,NJ,40.577612,-74.220784,0.0,2.0,0.0,1.0,0.0,0.0,7925.0,73347.0,16
07009,NJ,40.851303,-74.2286,0.0,2.0,0.0,1.0,0.0,0.0,4530.0,123768.0,426
07014,NJ,40.824273,-74.136315,0.0,0.0,6.0,0.0,0.0,1.0,1844.0,89349.0,97
07016,NJ,40.654871,-74.305423,0.0,2.0,0.0,1.0,0.0,0.0,8894.0,129781.0,594
07016,NJ,40.654871,-74.305423,0.0,2.0,0.0,1.0,0.0,0.0,8894.0,129781.0,1
07018,NJ,40.762493,-74.21597,0.0,2.0,0.0,1.0,0.0,0.0,10377.0,47094.0,91
07020,NJ,204.10165369999999,-369.8994806,0.0,23.0,0.0,1.0,0.0,4.0,5751.0,127221.0,5
07020,NJ,204.10165369999999,-369.8994806,0.0,23.0,0.0,1.0,0.0,4.0,5751.0,127221.0,648
07023,NJ,40.6418403,-74.3812904,0.0,1.0,0.0,0.0,0.0,1.0,2506.0,147905.0,203
07023,NJ,40.6418403,-74.3812904,0.0,1.0,0.0,0.0,0.0,1.0,2506.0,147905.0,1
07024,NJ,122.5648954,-221.9024003,0.0,12.0,0.0,0.0,0.0,3.0,17479.0,83767.0,1244
07024,NJ,122.5648954,-221.9024003,0.0,12.0,0.0,0.0,0.0,3.0,17479.0,83767.0,20
07028,NJ,40.812763,-74.203545,0.0,2.0,0.0,1.0,0.0,0.0,2495.0,198625.0,440
07029,NJ,203.697812,-370.796798,0.0,10.0,0.0,5.0,0.0,0.0,7266.0,69389.0,194
07030,NJ,448.183245,-814.298822,0.0,27.0,0.0,7.0,1.0,3.0,25182.0,147620.0,1071
07030,NJ,448.183245,-814.298822,0.0,27.0,0.0,7.0,1.0,3.0,25182.0,147620.0,1
07032,NJ,285.219592,-518.905406,0.0,14.0,11.0,3.0,0.0,4.0,13351.0,70658.0,299
07039,NJ,163.1540532,-297.349036,0.0,8.0,2.0,2.0,0.0,2.0,10225.0,166629.0,2126
07040,NJ,40.732048,-74.278351,0.0,1.0,0.0,0.0,1.0,0.0,7945.0,138870.0,1032
07042,NJ,489.799091,-890.603019,0.0,20.0,1.0,7.0,4.0,1.0,10436.0,108708.0,1
07042,NJ,489.799091,-890.603019,0.0,20.0,1.0,7.0,4.0,1.0,10436.0,108708.0,1192
07043,NJ,81.699946,-148.40919,0.0,4.0,0.0,2.0,0.0,0.0,4132.0,205735.0,3
07043,NJ,81.699946,-148.40919,0.0,4.0,0.0,2.0,0.0,0.0,4132.0,205735.0,971
07044,NJ,204.16026399999998,-371.240815,0.0,10.0,0.0,4.0,1.0,0.0,5310.0,125000.0,457
07045,NJ,40.91312,-74.390013,0.0,3.0,0.0,0.0,0.0,1.0,3883.0,169095.0,638
07052,NJ,244.69008730000002,-445.5069975,0.0,12.0,2.0,3.0,0.0,3.0,16414.0,105584.0,4
07052,NJ,244.69008730000002,-445.5069975,0.0,12.0,2.0,3.0,0.0,3.0,16414.0,105584.0,1492
07054,NJ,285.9912303,-520.8365561,0.0,11.0,8.0,5.0,1.0,1.0,11164.0,99251.0,864
07054,NJ,285.9912303,-520.8365561,0.0,11.0,8.0,5.0,1.0,1.0,11164.0,99251.0,1
07054,NJ,285.9912303,-520.8365561,0.0,11.0,8.0,5.0,1.0,1.0,11164.0,99251.0,4
07055,NJ,81.720562,-148.24661,0.0,4.0,0.0,2.0,0.0,0.0,19854.0,40944.0,209
07059,NJ,81.2846112,-149.0302816,0.0,5.0,0.0,0.0,0.0,2.0,5192.0,170096.0,1525
07060,NJ,162.493429,-297.776799,0.0,4.0,1.0,2.0,2.0,0.0,14971.0,58707.0,422
07065,NJ,121.823566,-222.832941,0.0,4.0,1.0,1.0,2.0,0.0,11304.0,78946.0,302
07066,NJ,40.618428,-74.297668,0.0,2.0,0.0,0.0,0.0,1.0,5932.0,109924.0,268
07068,NJ,40.825764,-74.33314,0.0,2.0,0.0,1.0,0.0,0.0,2349.0,129006.0,331
07068,NJ,40.825764,-74.33314,0.0,2.0,0.0,1.0,0.0,0.0,2349.0,129006.0,1
07069,NJ,40.636798,-74.451783,0.0,1.0,0.0,0.0,1.0,0.0,2099.0,156408.0,594
07069,NJ,40.636798,-74.451783,0.0,1.0,0.0,0.0,1.0,0.0,2099.0,156408.0,1
07070,NJ,612.456313,-1111.634724,0.0,22.0,0.0,8.0,7.0,0.0,6977.0,101473.0,384
07070,NJ,612.456313,-1111.634724,0.0,22.0,0.0,8.0,7.0,0.0,6977.0,101473.0,2
07071,NJ,40.8023357,-74.0960077,0.0,4.0,0.0,0.0,0.0,1.0,8738.0,79985.0,305
07073,NJ,40.805031,-74.07776,0.0,0.0,1.0,1.0,0.0,0.0,3966.0,80896.0,170
07079,NJ,81.4915986,-148.5210026,3.0,4.0,0.0,0.0,1.0,1.0,5162.0,138525.0,936
07081,NJ,162.776601,-297.300409,0.0,3.0,9.0,1.0,2.0,1.0,6901.0,111899.0,1
07081,NJ,162.776601,-297.300409,0.0,3.0,9.0,1.0,2.0,1.0,6901.0,111899.0,445
07083,NJ,162.752864,-297.046976,0.0,7.0,0.0,3.0,1.0,0.0,19094.0,90971.0,625
07086,NJ,40.760984,-74.023893,0.0,2.0,0.0,0.0,0.0,1.0,6633.0,101449.0,18
07086,NJ,40.760984,-74.023893,0.0,2.0,0.0,0.0,0.0,1.0,6633.0,101449.0,423
07090,NJ,162.6043338,-297.39561355,0.0,8.0,0.0,0.0,0.0,4.0,10280.0,171064.0,1422
07093,NJ,285.498949,-518.028631,0.0,13.0,0.0,7.0,0.0,0.0,24117.0,57473.0,528
07094,NJ,285.535897,-518.379164,0.0,9.0,3.0,3.0,2.0,2.0,7557.0,114821.0,1
07094,NJ,285.535897,-518.379164,0.0,9.0,3.0,3.0,2.0,2.0,7557.0,114821.0,625
07095,NJ,243.34330501,-445.78733625,0.0,16.0,0.0,0.0,1.0,5.0,7438.0,86615.0,218
07102,NJ,203.690738,-370.87429,0.0,9.0,0.0,4.0,0.0,1.0,5501.0,25677.0,99
07103,NJ,40.737238,-74.182551,0.0,2.0,0.0,1.0,0.0,0.0,11835.0,30108.0,73
07105,NJ,244.40176200000002,-444.960585,0.0,5.0,4.0,5.0,0.0,1.0,17320.0,44785.0,228
07106,NJ,40.737011,-74.182259,0.0,3.0,0.0,0.0,0.0,1.0,11575.0,41195.0,46
07108,NJ,81.455106,-148.391479,0.0,3.0,0.0,2.0,0.0,0.0,8928.0,27000.0,49
07114,NJ,366.284618,-667.635741,0.0,13.0,2.0,8.0,0.0,1.0,3375.0,29682.0,72
07201,NJ,284.647025,-519.429866,0.0,10.0,26.0,4.0,1.0,2.0,8651.0,47630.0,85
07203,NJ,40.64171,-74.260451,0.0,2.0,0.0,1.0,0.0,0.0,7402.0,64718.0,99
07205,NJ,122.1010991,-222.67567400000001,0.0,5.0,1.0,1.0,1.0,1.0,7342.0,75239.0,144
07302,NJ,977.311817,-1776.9988901,0.0,57.0,7.0,16.0,2.0,6.0,22355.0,136679.0,11
07302,NJ,977.311817,-1776.9988901,0.0,57.0,7.0,16.0,2.0,6.0,22355.0,136679.0,1401
07304,NJ,203.592232,-370.411258,0.0,9.0,0.0,2.0,2.0,1.0,16075.0,48360.0,298
07304,NJ,203.592232,-370.411258,0.0,9.0,0.0,2.0,2.0,1.0,16075.0,48360.0,19
07305,NJ,162.83014500000002,-296.339439,0.0,11.0,0.0,3.0,1.0,0.0,22652.0,55955.0,506
07305,NJ,162.83014500000002,-296.339439,0.0,11.0,0.0,3.0,1.0,0.0,22652.0,55955.0,26
07306,NJ,81.464354,-148.124875,0.0,4.0,0.0,2.0,0.0,0.0,20107.0,59794.0,381
07306,NJ,81.464354,-148.124875,0.0,4.0,0.0,2.0,0.0,0.0,20107.0,59794.0,14
07307,NJ,122.23783399999999,-222.14968299999998,0.0,6.0,0.0,3.0,0.0,0.0,15721.0,63281.0,4
07307,NJ,122.23783399999999,-222.14968299999998,0.0,6.0,0.0,3.0,0.0,0.0,15721.0,63281.0,306
07310,NJ,244.3798891,-444.2312331,0.0,12.0,22.0,0.0,0.0,6.0,6097.0,147516.0,313
07311,NJ,162.8696215,-296.1438044,0.0,14.0,0.0,0.0,0.0,4.0,205.0,188634.0,9
07311,NJ,162.8696215,-296.1438044,0.0,14.0,0.0,0.0,0.0,4.0,205.0,188634.0,51
07405,NJ,81.982512,-148.694676,0.0,2.0,0.0,0.0,2.0,0.0,6394.0,116884.0,512
