ZIP_CODE,State_Code,Latitude,Longitude,EV_LEVEL_1,EV_LEVEL_2,EV_FAST,NETWORK_TYPE_ChargePoint,NETWORK_TYPE_Non-Networked,NETWORK_TYPE_Other-Network,TOTAL_HOUSEHOLDS,MEDIAN_INCOME,REG_COUNTS
00,,,,,,,,,,,,2
0320,,,,,,,,,,,,8
0745,,,,,,,,,,,,2
01035,,,,,,,,,,,,1
01040,,,,,,,,,,,,3
01070,,,,,,,,,,,,1
01109,,,,,,,,,,,,1
01254,,,,,,,,,,,,19
01453,,,,,,,,,,,,4
01609,,,,,,,,,,,,25
01731,,,,,,,,,,,,5
01742,,,,,,,,,,,,1
01748,,,,,,,,,,,,2
01752,,,,,,,,,,,,2
01886,,,,,,,,,,,,5
01966,,,,,,,,,,,,1
02067,,,,,,,,,,,,1
02081,,,,,,,,,,,,1
02124,,,,,,,,,,,,2
02141,,,,,,,,,,,,2
02184,,,,,,,,,,,,10
02215,,,,,,,,,,,,11
02478,,,,,,,,,,,,4
02481,,,,,,,,,,,,3
02534,,,,,,,,,,,,1
02535,,,,,,,,,,,,1
02746,,,,,,,,,,,,4
02816,,,,,,,,,,,,3
02818,,,,,,,,,,,,2
02822,,,,,,,,,,,,1
02830,,,,,,,,,,,,1
02831,,,,,,,,,,,,1
02837,,,,,,,,,,,,1
02840,,,,,,,,,,,,4
02860,,,,,,,,,,,,2
02864,,,,,,,,,,,,1
02865,,,,,,,,,,,,3
02874,,,,,,,,,,,,1
02888,,,,,,,,,,,,1
02895,,,,,,,,,,,,1
02906,,,,,,,,,,,,1
02916,,,,,,,,,,,,1
03033,,,,,,,,,,,,1
03038,,,,,,,,,,,,2
03049,,,,,,,,,,,,1
03054,,,,,,,,,,,,1
03055,,,,,,,,,,,,1
03060,,,,,,,,,,,,1
03076,,,,,,,,,,,,1
03079,,,,,,,,,,,,1
03104,,,,,,,,,,,,1
03106,,,,,,,,,,,,30
03110,,,,,,,,,,,,2
03223,,,,,,,,,,,,2
03234,,,,,,,,,,,,1
03266,WI,43.045323,-88.041306,0.0,2.0,0.0,0.0,1.0,0.0,851.0,54904.0,0
03284,,,,,,,,,,,,1
03301,,,,,,,,,,,,1
03431,,,,,,,,,,,,1
03743,,,,,,,,,,,,1
03748,,,,,,,,,,,,1
03755,,,,,,,,,,,,2
03756,,,,,,,,,,,,1
03801,,,,,,,,,,,,6
03811,,,,,,,,,,,,1
03842,,,,,,,,,,,,3
03865,,,,,,,,,,,,1
04005,,,,,,,,,,,,2
04027,,,,,,,,,,,,1
04043,,,,,,,,,,,,1
04066,,,,,,,,,,,,3
04107,,,,,,,,,,,,20
04243,,,,,,,,,,,,3
04530,,,,,,,,,,,,1
04660,,,,,,,,,,,,1
04915,,,,,,,,,,,,1
05068,,,,,,,,,,,,1
05156,,,,,,,,,,,,1
05201,,,,,,,,,,,,1
05254,,,,,,,,,,,,1
05255,,,,,,,,,,,,2
05282,,,,,,,,,,,,1
05301,,,,,,,,,,,,1
05343,,,,,,,,,,,,1
05401,,,,,,,,,,,,2
05403,,,,,,,,,,,,7
05404,,,,,,,,,,,,1
05407,,,,,,,,,,,,5
05446,,,,,,,,,,,,1
05447,,,,,,,,,,,,1
05452,,,,,,,,,,,,1
05461,,,,,,,,,,,,1
05463,,,,,,,,,,,,1
05478,,,,,,,,,,,,1
05486,,,,,,,,,,,,1
05491,,,,,,,,,,,,1
05602,,,,,,,,,,,,2
05701,,,,,,,,,,,,1
05739,,,,,,,,,,,,1
05776,,,,,,,,,,,,1
05842,,,,,,,,,,,,1
05874,,,,,,,,,,,,1
06001,,,,,,,,,,,,7
06002,,,,,,,,,,,,2
06010,,,,,,,,,,,,3
